session_id,kind,source_path,output_path,relative_link,source_bytes,output_bytes,source_width,source_height,source_mode,display_width,display_height,display_mode,resized,status
019e5a99-d4b4-7b33-9c00-74b8d0f6c184,linked_local_figure,[ANALYSIS_WORKSPACE]\01_ptc_relative_slope_agent\candidate_eta10_eta50_raw_and_ptc_subtracted.png,rendered_transcripts\assets\s1\f\img_0001_e7c50255a75e.png,assets/s1/f/img_0001_e7c50255a75e.png,335818,394601,2970,1364,RGBA,2400,1102,RGB,True,ok
019e5a99-d4b4-7b33-9c00-74b8d0f6c184,linked_local_figure,[ANALYSIS_WORKSPACE]\01_ptc_relative_slope_agent\candidate_eta10_eta50_by_material_class.png,rendered_transcripts\assets\s1\f\img_0002_f550fc10f6f9.png,assets/s1/f/img_0002_f550fc10f6f9.png,422604,418762,2970,1364,RGBA,2400,1102,RGB,True,ok
019e5a99-d4b4-7b33-9c00-74b8d0f6c184,linked_local_figure,[ANALYSIS_WORKSPACE]\01_ptc_relative_slope_agent\pgm_two_line_validation_delta_eta10_eta50.png,rendered_transcripts\assets\s1\f\img_0003_053e2818ffdb.png,assets/s1/f/img_0003_053e2818ffdb.png,214474,203699,1628,1408,RGBA,1628,1408,RGB,False,ok
019e5a99-d4b4-7b33-9c00-74b8d0f6c184,linked_local_figure,[ANALYSIS_WORKSPACE]\01_ptc_relative_slope_agent\bayesian_pgm_line_posterior.png,rendered_transcripts\assets\s1\f\img_0004_8cabb2cbe233.png,assets/s1/f/img_0004_8cabb2cbe233.png,247542,227989,1716,1430,RGBA,1716,1430,RGB,False,ok
019e5a99-d4b4-7b33-9c00-74b8d0f6c184,linked_local_figure,[ANALYSIS_WORKSPACE]\01_ptc_relative_slope_agent\bayesian_negative_quadrant_lines.png,rendered_transcripts\assets\s1\f\img_0005_5966e1db3d65.png,assets/s1/f/img_0005_5966e1db3d65.png,210395,200537,1584,1364,RGBA,1584,1364,RGB,False,ok
019e5a99-d4b4-7b33-9c00-74b8d0f6c184,linked_local_figure,[ANALYSIS_WORKSPACE]\01_ptc_relative_slope_agent\acid_base_pgm_line_posteriors.png,rendered_transcripts\assets\s1\f\img_0006_f54fe73afabb.png,assets/s1/f/img_0006_f54fe73afabb.png,223007,317503,2684,1276,RGBA,2400,1141,RGB,True,ok
019e5a99-d4b4-7b33-9c00-74b8d0f6c184,linked_local_figure,[ANALYSIS_WORKSPACE]\01_ptc_relative_slope_agent\acid_base_four_group_slope_intercept_posteriors.png,rendered_transcripts\assets\s1\f\img_0007_5f0e997e74e0.png,assets/s1/f/img_0007_5f0e997e74e0.png,189706,319417,3385,1443,RGBA,2400,1023,RGB,True,ok
019e5a99-d4b4-7b33-9c00-74b8d0f6c184,linked_local_figure,[ANALYSIS_WORKSPACE]\01_ptc_relative_slope_agent\tafel_relative_slope_vs_delta_eta10.png,rendered_transcripts\assets\s1\f\img_0008_9b27e5b0c355.png,assets/s1/f/img_0008_9b27e5b0c355.png,209148,195547,1716,1364,RGBA,1716,1364,RGB,False,ok
019e5a99-d4b4-7b33-9c00-74b8d0f6c184,linked_local_figure,[ANALYSIS_WORKSPACE]\01_ptc_relative_slope_agent\tafel_apparent_slope_by_pgm_acid_base.png,rendered_transcripts\assets\s1\f\img_0009_325d8d84607c.png,assets/s1/f/img_0009_325d8d84607c.png,96517,159011,2772,1144,RGBA,2400,990,RGB,True,ok
019e5a99-d4b4-7b33-9c00-74b8d0f6c184,linked_local_figure,[ANALYSIS_WORKSPACE]\01_ptc_relative_slope_agent\pgm_alkaline_strong_feature_counts.png,rendered_transcripts\assets\s1\f\img_0010_dd5da56c769d.png,assets/s1/f/img_0010_dd5da56c769d.png,97080,136808,3101,994,RGBA,2400,769,RGB,True,ok
019e5a99-d4b4-7b33-9c00-74b8d0f6c184,linked_local_figure,[ANALYSIS_WORKSPACE]\01_ptc_relative_slope_agent\bayesian_precious_metal_line_posterior_duplicate_mean.png,rendered_transcripts\assets\s1\f\img_0011_9d9d0a0dcc86.png,assets/s1/f/img_0011_9d9d0a0dcc86.png,232681,213601,1716,1408,RGBA,1716,1408,RGB,False,ok
