case_rel_path,curve_label,both_better,Alloy/intermetallic/bimetallic,Explicit carbon support,Pt-containing,Ir-containing,Ru-containing,Ru + carbon support,Ru + alloy/bimetallic,Phase-controlled Ru nanocages,Ru without carbon/alloy/phase,Oxide/hydroxide interface,Other PM chalcogenide/phosphide,Ru chalcogenide/MoS2,Ru MOF/framework
batch0/case10,C15-Ir2Ce/C,True,True,True,False,True,False,False,False,False,False,False,False,False,False
batch0/case19,RST-300°C,True,False,True,False,False,True,True,False,False,False,False,False,True,False
batch0/case19,RST-600°C,False,False,True,False,False,True,True,False,False,False,False,False,True,False
batch0/case19,RST-Fresh,False,False,True,False,False,True,True,False,False,False,False,False,True,False
batch0/case20,1%-RuSA/α-MoC1-x/C,False,False,True,False,False,True,True,False,False,False,False,False,False,False
batch0/case20,2%-RuCS/SA/α-MoC1-x/C,True,False,True,False,False,True,True,False,False,False,False,False,False,False
batch0/case20,3%-RuCS/SA/α-MoC1-x/C,True,False,True,False,False,True,True,False,False,False,False,False,False,False
batch0/case20,4%-RuCS/SA/α-MoC1-x/C,True,False,True,False,False,True,True,False,False,False,False,False,False,False
batch0/case21,Ru/MoB,False,False,False,False,False,True,False,False,False,True,False,False,False,False
batch0/case21,Ru/MoB-BV,True,False,False,False,False,True,False,False,False,True,False,False,False,False
batch0/case23,Ru/ac-CeO2-δ,True,False,False,False,False,True,False,False,False,True,True,False,False,False
batch0/case30,Ru-RuO2/C60-x,True,False,True,False,False,True,True,False,False,False,True,False,False,False
batch0/case32,A1-(IrRh)2PrNdTb,True,True,False,False,True,False,False,False,False,False,False,False,False,False
batch0/case32,C15-(IrRh)2PrNdTb,True,True,False,False,True,False,False,False,False,False,False,False,False,False
batch0/case33,Ru-Fe7C3@CNF,True,False,True,False,False,True,True,False,False,False,False,False,False,False
batch0/case35,Rh@Dy-CuO,True,False,False,False,False,False,False,False,False,False,True,False,False,False
batch0/case36,L-Ru/Co(OH)x,True,False,True,False,False,True,True,False,False,False,False,False,False,False
