case_rel_path,figure_id,panel_id,curve_label,paper_title,figure6_group,both_better_global,both_better_and_widens,enrich_reported_material_name,enrich_material_class,active_elements,precious_elements,support_material,substrate_material,delta_eta10_mV,delta_eta50_mV,gap_widening_eta50_minus_eta10_mV,condition_alkaline,pm_containing,alkaline_PM_interaction,motif_alloy_class,Pt_containing,Ir_containing,Ru_containing,Pd_containing,motif_carbon_support,motif_chalcogen,motif_selenide_telluride,motif_phosphide,motif_oxide_hydroxide,motif_single_atom,motif_array_or_foam_architecture,PM_plus_oxophilic_partner,Pt_plus_partner,Ru_plus_partner,Pt_alloy_or_multimetal,Ru_chalcogen,multi_metal,has_oxophilic_partner,element_Ni,element_Mo,element_Co,element_Fe,element_P,element_S,element_Se,element_Te,dataset,manual_elements,manual_pm_elements,manual_nonpm_metal_partners,manual_tm_oxophilic_partners,manual_main_group_partners,manual_pm_core,manual_partner_type,manual_identity_family,manual_is_alloy_or_metallic_glass,manual_is_single_atom_or_site_isolated,manual_has_carbon_support,manual_has_oxide_hydroxide_interface,manual_has_chalcogenide,manual_has_phosphide,manual_has_carbide_boride_nitride,manual_pm_count,manual_nonpm_metal_partner_count,audit_strict_subfamily,audit_confidence,audit_issue_flag,audit_note,audit_elements_compact,audit_pm_compact,analysis_dataset,eta10_good,eta50_good,transition_class_strict,both_better,alkaline_pm_branch
batch0/case18,figure_4,a,MC-1,Direct Writing of Oxygen-Doped Mo2C Enabled by Low-Temperature Laser Deposition for High-Performance Acidic Hydrogen Evolution Reaction,Acidic non-PM,False,False,MC-1 catalyst,carbide,"{'Mo', 'C', 'O'}",[],,carbon cloth,87.7033291192583,101.13780025284451,13.434471133586214,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,AB,"C,Mo,O",,Mo,Mo,"C,O",non-PM,no PM,non-PM oxide/hydroxide/nitride,False,False,True,True,False,False,True,0,1,non-PM oxide/hydroxide/nitride-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","C,Mo,O",,AB,False,False,neither,False,
batch0/case18,figure_4,a,MC-2,Direct Writing of Oxygen-Doped Mo2C Enabled by Low-Temperature Laser Deposition for High-Performance Acidic Hydrogen Evolution Reaction,Acidic non-PM,False,False,MC-2 catalyst,composite,"{'Mo', 'C', 'O'}",[],,carbon cloth,107.9308891698272,125.57274630599537,17.64185713616814,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,AB,"C,Mo,O",,Mo,Mo,"C,O",non-PM,no PM,non-PM oxide/hydroxide/nitride,False,False,True,True,False,False,False,0,1,non-PM oxide/hydroxide/nitride-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","C,Mo,O",,AB,False,False,neither,False,
batch0/case18,figure_4,a,MC-3,Direct Writing of Oxygen-Doped Mo2C Enabled by Low-Temperature Laser Deposition for High-Performance Acidic Hydrogen Evolution Reaction,Acidic non-PM,False,False,MC-3 catalyst,carbide,"{'Mo', 'C'}",[],,carbon cloth,138.2722292456805,150.61037197573228,12.338142730051745,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,AB,"C,Mo",,Mo,Mo,C,non-PM,no PM,non-PM other,False,False,True,False,False,False,True,0,1,non-PM residual/unclear,low,residual_family;coarse_or_residual_label,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","C,Mo",,AB,False,False,neither,False,
batch0/case62,figure_3,a,M-CoSe1.28S0.72,Efficient acidic hydrogen evolution in proton exchange membrane electrolyzers over a sulfur-doped marcasite-type electrocatalyst,Acidic non-PM,False,False,M-CoSe1.28S0.72,other,"{'Co', 'S', 'Se'}",[],,glassy carbon,39.95057908919972,60.28975310826923,20.33917401906951,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,AB,"Co,S,Se",,Co,Co,"S,Se",non-PM,no PM,non-PM chalcogenide,False,False,True,False,True,False,False,0,1,non-PM chalcogenide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Co,S,Se",,AB,False,False,neither,False,
batch1/case102,figure_3,a,CPF-Fe/Ni,A pyrolysis-free Ni/Fe bimetallic electrocatalyst for overall water splitting,Acidic non-PM,False,False,CPF-Fe/Ni,single_atom,"{'Ni', 'Fe'}",[],conjugated phthalocyanine framework (CPF),carbon cloth,44.48300795372396,144.3995772846098,99.91656933088584,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,AB,"Fe,Ni",,"Fe,Ni","Fe,Ni",,non-PM,no PM,non-PM other,False,True,True,False,False,False,False,0,2,non-PM residual/unclear,low,residual_family;coarse_or_residual_label,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Fe,Ni",,AB,False,False,neither,False,
batch1/case21,figure_3,a,CoSe2,Crystalline-Amorphous Interfaces Coupling of CoSe2/CoP with Optimized d-Band Center and Boosted Electrocatalytic Hydrogen Evolution,Acidic non-PM,False,False,CoSe2,other,"{'Co', 'Se'}",[],,,119.49697429927532,128.69645898040812,9.199484681132802,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,AB,"Co,Se",,Co,Co,Se,non-PM,no PM,non-PM chalcogenide,False,False,False,False,True,False,False,0,1,non-PM chalcogenide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Co,Se",,AB,False,False,neither,False,
batch1/case21,figure_3,a,CoSe2/a-CoP,Crystalline-Amorphous Interfaces Coupling of CoSe2/CoP with Optimized d-Band Center and Boosted Electrocatalytic Hydrogen Evolution,Acidic non-PM,False,False,CoSe2/a-CoP,composite,"{'Co', 'Se', 'P'}",[],,,12.486753519302852,24.51781627983001,12.031062760527163,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,AB,"Co,P,Se",,Co,Co,"P,Se",non-PM,no PM,non-PM phosphide,False,False,False,False,True,True,False,0,1,non-PM phosphide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Co,P,Se",,AB,False,False,neither,False,
batch1/case21,figure_3,a,CoSe2/c-CoP,Crystalline-Amorphous Interfaces Coupling of CoSe2/CoP with Optimized d-Band Center and Boosted Electrocatalytic Hydrogen Evolution,Acidic non-PM,False,False,CoSe2/c-CoP,composite,"{'Co', 'Se', 'P'}",[],,,73.63493566071298,82.39055940137087,8.755623740657882,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,AB,"Co,P,Se",,Co,Co,"P,Se",non-PM,no PM,non-PM phosphide,False,False,False,False,True,True,False,0,1,non-PM phosphide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Co,P,Se",,AB,False,False,neither,False,
batch1/case28,figure_4,a,Interlayer-confined NiFe@MoS2 -67 mV,Interlayer-Confined NiFe Dual Atoms within MoS2 Electrocatalyst for Ultra-Efficient Acidic Overall Water Splitting,Acidic non-PM,False,False,Interlayer-confined NiFe@MoS2,composite,"{'Ni', 'Fe'}",[],MoS2,glassy carbon,30.58837420867008,14.913873101592834,-15.674501107077244,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,AB,"Fe,Ni",,"Fe,Ni","Fe,Ni",,non-PM,no PM,non-PM chalcogenide,False,False,True,False,True,False,False,0,2,non-PM residual/unclear,low,residual_family;coarse_or_residual_label,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Fe,Ni",,AB,False,False,neither,False,
batch1/case28,figure_4,a,Planar NiFe@MoS2 -121 mV,Interlayer-Confined NiFe Dual Atoms within MoS2 Electrocatalyst for Ultra-Efficient Acidic Overall Water Splitting,Acidic non-PM,False,False,Planar NiFe@MoS2,composite,"{'Ni', 'Fe'}",[],MoS2,glassy carbon,84.90599813973118,94.32672475838712,9.420726618655934,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,AB,"Fe,Ni",,"Fe,Ni","Fe,Ni",,non-PM,no PM,non-PM chalcogenide,False,False,True,False,True,False,False,0,2,non-PM residual/unclear,low,residual_family;coarse_or_residual_label,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Fe,Ni",,AB,False,False,neither,False,
