curve_uid,paper_key,paper_title,figure_id,panel_id,curve_label,condition_label,regime_class,current_density_basis,eta_rule,selected_current_sign,canonical_fit_eligible,fit_point_count,j_min_mA,j_max_mA,y_min_mV,y_max_mV
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,a,Ir/C,Ir/C,acidic,True,minus_E_RHE_negative_branch,-1.0,True,35,0.4530011325028297,98.75424688561722,38.639053254437876,85.68047337278108
batch0/case10/figure_4__panel_a/curve_2,10.1002/adma.202412541,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,a,Pt/C,Pt/C,acidic,True,minus_E_RHE_negative_branch,-1.0,True,28,2.0385050962627393,99.1506228765572,11.124260355029593,46.03550295857989
batch0/case10/figure_4__panel_a/curve_3,10.1002/adma.202412541,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,a,A1-Ir2Ce/C,A1-Ir2Ce/C,acidic,True,minus_E_RHE_negative_branch,-1.0,True,32,0.45300113250282975,98.35787089467725,24.142011834319536,75.62130177514793
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,a,C15-Ir2Ce/C,C15-Ir2Ce/C,acidic,True,minus_E_RHE_negative_branch,-1.0,True,21,2.4348810872027165,99.1506228765572,2.8402366863905395,26.508875739644978
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,b,Ir/C,Ir/C,alkaline,True,minus_E_RHE_negative_branch,-1.0,True,49,0.607787274453939,99.92402659069326,8.896797153024911,151.2455516014235
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,b,Pt/C,Pt/C,alkaline,True,minus_E_RHE_negative_branch,-1.0,True,30,4.197530864197529,99.52516619183285,11.269276393831555,97.27164887307238
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,b,A1-Ir2Ce/C,A1-Ir2Ce/C,alkaline,True,minus_E_RHE_negative_branch,-1.0,True,35,0.607787274453939,99.92402659069326,2.3724792408066433,103.20284697508899
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,b,C15-Ir2Ce/C,C15-Ir2Ce/C,alkaline,True,minus_E_RHE_negative_branch,-1.0,True,25,2.2032288698955345,99.72459639126306,1.7793594306049825,58.718861209964416
batch0/case10/figure_4__panel_c/curve_1,10.1002/adma.202412541,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,c,Ir/C,Ir/C,buffered,True,minus_E_RHE_negative_branch,-1.0,True,41,0.27859430526915757,59.24406616066336,1.016552150630256,459.28592342065014
batch0/case10/figure_4__panel_c/curve_2,10.1002/adma.202412541,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,c,Pt/C,Pt/C,buffered,True,minus_E_RHE_negative_branch,-1.0,True,30,4.209625762295437,59.4897556267275,21.12868756686937,230.86952833622016
batch0/case10/figure_4__panel_c/curve_3,10.1002/adma.202412541,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,c,A1-Ir2Ce/C,A1-Ir2Ce/C,buffered,True,minus_E_RHE_negative_branch,-1.0,True,36,2.48979949984644,59.366910893695426,18.255525364549495,329.99362431625576
