curve_uid,paper_key,native_index,j,eta_mV
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,0,0.4530011325028297,38.639053254437876
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,1,0.849377123442807,40.71005917159764
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,2,1.2457531143827845,43.07692307692308
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,3,1.6421291053227618,47.21893491124261
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,4,2.4348810872027165,50.17751479289941
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,5,2.831257078142694,51.36094674556214
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,6,3.227633069082671,52.544378698224854
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,7,3.6240090600226487,53.727810650887584
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,8,4.416761041902603,54.911242603550306
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,9,5.209513023782558,56.09467455621302
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,10,6.398640996602491,57.27810650887575
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,11,7.9841449603624,58.46153846153847
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,12,9.56964892412231,59.64497041420119
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,13,11.947904869762173,60.82840236686391
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,14,14.326160815402037,62.011834319526635
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,15,16.7044167610419,63.19526627218936
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,16,19.479048697621742,64.37869822485207
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,17,23.04643261608154,65.5621301775148
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,18,26.21744054360136,66.74556213017752
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,19,30.181200453001132,67.92899408284025
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,20,33.35220838052095,69.11242603550296
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,21,37.315968289920725,70.2958579881657
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,22,41.2797281993205,71.47928994082841
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,23,45.63986409966025,72.66272189349112
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,24,50.0,73.84615384615385
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,25,54.360135900339756,75.02958579881658
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,26,59.11664779161948,76.2130177514793
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,27,65.06228765571915,77.39644970414201
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,28,69.02604756511892,78.57988165680474
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,29,74.5753114382786,79.76331360946746
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,30,80.52095130237826,80.94674556213019
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,31,86.46659116647793,82.1301775147929
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,32,92.0158550396376,83.31360946745562
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,33,95.18686296715742,84.49704142011835
batch0/case10/figure_4__panel_a/curve_1,10.1002/adma.202412541,34,98.75424688561722,85.68047337278108
batch0/case10/figure_4__panel_a/curve_2,10.1002/adma.202412541,0,2.0385050962627393,11.124260355029593
batch0/case10/figure_4__panel_a/curve_2,10.1002/adma.202412541,1,2.4348810872027165,14.082840236686398
batch0/case10/figure_4__panel_a/curve_2,10.1002/adma.202412541,2,2.831257078142694,16.449704142011843
batch0/case10/figure_4__panel_a/curve_2,10.1002/adma.202412541,3,3.227633069082671,17.633136094674565
batch0/case10/figure_4__panel_a/curve_2,10.1002/adma.202412541,4,4.020385050962626,18.816568047337284
batch0/case10/figure_4__panel_a/curve_2,10.1002/adma.202412541,5,4.81313703284258,20.000000000000007
batch0/case10/figure_4__panel_a/curve_2,10.1002/adma.202412541,6,6.002265005662513,21.18343195266273
batch0/case10/figure_4__panel_a/curve_2,10.1002/adma.202412541,7,7.9841449603624,22.366863905325452
batch0/case10/figure_4__panel_a/curve_2,10.1002/adma.202412541,8,9.56964892412231,23.55029585798817
