curve_uid,source_record_id,source_doi,paper_key,figure_id,panel_id,curve_label,condition_label,native_point_count,fit_point_count,axis_orientation,linear_axes,current_density_basis,reference_basis,reference_axis_ready,potential_unit_mode,current_unit_mode,eta_rule,selected_current_sign,selected_current_sign_rule,selected_current_sign_raw_point_count,j_min_mA,j_max_mA,y_min_mV,y_max_mV,fit_range_ok,canonical_fit_eligible,current_reaches_20_mA_cm2,retained_source_record,retained_source_record_id,included_figure4,selection_reason
batch0/case2/figure_6__panel_a/curve_20wt_ptc,batch0/case2,10.1002/adma.202312724,10.1002/adma.202312724,figure_6,a,20 wt% Pt/C,20 wt% Pt/C,17,17,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,17,1.2813571557480647,46.7605125428623,1.9667170953101705,35.8547655068079,True,True,True,True,batch0/case2,True,included
batch0/case2/figure_6__panel_a/curve_pt_te_utpnbs,batch0/case2,10.1002/adma.202312724,10.1002/adma.202312724,figure_6,a,Pt/TE-UTPNBs,Pt/TE-UTPNBs,22,22,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,22,1.091860674968422,49.79245623533659,8.320726172465996,52.79878971255676,True,True,True,True,batch0/case2,True,included
batch0/case2/figure_6__panel_a/curve_pt_te_pnss,batch0/case2,10.1002/adma.202312724,10.1002/adma.202312724,figure_6,a,Pt/TE-PNSs,Pt/TE-PNSs,51,51,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,51,1.2813571557480647,49.79245623533659,14.674735249621818,120.57488653555222,True,True,True,True,batch0/case2,True,included
batch0/case2/figure_6__panel_a/curve_ptnps_te_utpnbs,batch0/case2,10.1002/adma.202312724,10.1002/adma.202312724,figure_6,a,PtNPs/TE-UTPNBs,PtNPs/TE-UTPNBs,25,25,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,25,1.091860674968422,49.79245623533659,35.8547655068079,137.51891074130108,True,True,True,True,batch0/case2,True,included
batch0/case2/figure_6__panel_a/curve_te_utpnbs,batch0/case2,10.1002/adma.202312724,10.1002/adma.202312724,figure_6,a,TE-UTPNBs,TE-UTPNBs,28,28,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,28,1.2813571557480647,48.655477350658735,60.211800302571895,399.0922844175492,True,True,True,True,batch0/case2,True,included
batch0/case2/figure_6__panel_a/curve_te_pnss,batch0/case2,10.1002/adma.202312724,10.1002/adma.202312724,figure_6,a,TE-PNSs,TE-PNSs,31,29,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,31,0.5233712326294941,27.810864464898035,13.615733736762515,388.50226928895614,True,True,True,True,batch0/case2,True,included
batch0/case3/figure_3__panel_a/curve_1,batch0/case3,10.1002/adma.202400433,10.1002/adma.202400433,figure_3,a,Pt/C,Pt/C,21,18,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,18,3.7087772704211104,32.688990360223244,7.344632768361486,21.468926553672222,True,True,True,True,batch0/case3,True,included
batch0/case3/figure_3__panel_a/curve_2,batch0/case3,10.1002/adma.202400433,10.1002/adma.202400433,figure_3,a,Ru-PtFeNiCuW/CNTs,Ru-PtFeNiCuW/CNTs,32,28,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,28,2.281075596144093,48.0314561136479,1.4124293785309934,14.406779661016856,True,True,True,True,batch0/case3,True,included
batch0/case3/figure_3__panel_a/curve_3,batch0/case3,10.1002/adma.202400433,10.1002/adma.202400433,figure_3,a,Ru-PtFeNiCu/CNTs,Ru-PtFeNiCu/CNTs,31,30,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,31,0.9386098427194364,48.0314561136479,10.169491525423634,121.75141242937845,True,True,True,True,batch0/case3,True,included
batch0/case3/figure_3__panel_a/curve_4,batch0/case3,10.1002/adma.202400433,10.1002/adma.202400433,figure_3,a,Ru-PtFeNiCu-CO/CNTs,Ru-PtFeNiCu-CO/CNTs,32,29,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,29,1.5778792491121303,48.0314561136479,0.9887005649716553,33.47457627118635,True,True,True,True,batch0/case3,True,included
batch0/case3/figure_3__panel_a/curve_5,batch0/case3,10.1002/adma.202400433,10.1002/adma.202400433,figure_3,a,PtFeNiCuW/CNTs,PtFeNiCuW/CNTs,44,32,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,35,0.5124302384576404,48.0314561136479,10.169491525423634,83.61581920903946,True,True,True,True,batch0/case3,True,included
batch0/case3/figure_3__panel_d/curve_1,batch0/case3,10.1002/adma.202400433,10.1002/adma.202400433,figure_3,d,Pt/C,Pt/C,39,39,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,39,0.23965141612200436,9.847494553376906,18.103827540695132,76.61680598328202,True,True,False,True,batch0/case3,False,current_below_20_mA_cm2
batch0/case3/figure_3__panel_d/curve_2,batch0/case3,10.1002/adma.202400433,10.1002/adma.202400433,figure_3,d,Ru-PtFeNiCuW/CNTs,Ru-PtFeNiCuW/CNTs,30,29,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,29,0.30501089324618735,9.869281045751634,5.7853057633084175,21.18345798504181,True,True,False,True,batch0/case3,False,current_below_20_mA_cm2
batch0/case3/figure_3__panel_d/curve_3,batch0/case3,10.1002/adma.202400433,10.1002/adma.202400433,figure_3,d,Ru-PtFeNiCu/CNTs,Ru-PtFeNiCu/CNTs,24,21,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,21,0.2178649237472767,9.738562091503269,25.802903651561827,118.19181698196218,True,True,False,True,batch0/case3,False,current_below_20_mA_cm2
batch0/case3/figure_3__panel_d/curve_4,batch0/case3,10.1002/adma.202400433,10.1002/adma.202400433,figure_3,d,Ru-PtFeNiCu-CO/CNTs,Ru-PtFeNiCu-CO/CNTs,22,16,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,16,0.26143790849673204,9.607843137254902,15.024197096348454,61.21865376154863,True,True,False,True,batch0/case3,False,current_below_20_mA_cm2
batch0/case3/figure_3__panel_d/curve_5,batch0/case3,10.1002/adma.202400433,10.1002/adma.202400433,figure_3,d,PtFeNiCuW/CNTs,PtFeNiCuW/CNTs,35,17,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,17,0.3703703703703704,9.825708061002178,53.51957765068193,127.43070831500222,True,True,False,True,batch0/case3,False,current_below_20_mA_cm2
batch0/case3/figure_4__a/curve_1,batch0/case3,10.1002/adma.202400433,10.1002/adma.202400433,figure_4,a,Pt/C,Pt/C,24,24,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,24,2.4522028262676616,48.05694098088113,8.101851851851787,91.43518518518513,True,True,True,True,batch0/case3,True,included
batch0/case3/figure_4__a/curve_2,batch0/case3,10.1002/adma.202400433,10.1002/adma.202400433,figure_4,a,Ru-PtFeNiCuW/CNTs,Ru-PtFeNiCuW/CNTs,16,11,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,11,2.6704073150457166,39.76517040731505,1.157407407407342,42.82407407407401,True,True,True,True,batch0/case3,True,included
batch0/case3/figure_4__a/curve_3,batch0/case3,10.1002/adma.202400433,10.1002/adma.202400433,figure_4,a,Ru-PtFeNiCu/CNTs,Ru-PtFeNiCu/CNTs,23,21,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,21,0.27015793848711306,44.3474646716542,4.629629629629564,275.462962962963,True,True,True,True,batch0/case3,True,included
batch0/case3/figure_4__a/curve_4,batch0/case3,10.1002/adma.202400433,10.1002/adma.202400433,figure_4,a,Ru-PtFeNiCu-CO/CNTs,Ru-PtFeNiCu-CO/CNTs,31,31,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,31,1.5793848711554423,48.92975893599335,8.101851851851787,112.26851851851848,True,True,True,True,batch0/case3,True,included
batch0/case3/figure_4__a/curve_5,batch0/case3,10.1002/adma.202400433,10.1002/adma.202400433,figure_4,a,PtFeNiCuW/CNTs,PtFeNiCuW/CNTs,28,20,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,21,0.9247714048212776,42.60182876142976,18.518518518518455,292.8240740740741,True,True,True,True,batch0/case3,True,included
batch0/case3/figure_4__e/curve_1,batch0/case3,10.1002/adma.202400433,10.1002/adma.202400433,figure_4,e,after I-t,after I-t,35,27,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,27,3.088235294117647,48.970588235294116,2.0134228187919465,71.81208053691276,True,True,True,True,batch0/case3,True,included
batch0/case3/figure_4__e/curve_2,batch0/case3,10.1002/adma.202400433,10.1002/adma.202400433,figure_4,e,initial,initial,19,19,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,19,13.23529411764706,45.294117647058826,32.61744966442953,61.61073825503356,True,True,True,True,batch0/case3,True,included
batch0/case4/figure_4__panel_a/curve_red,batch0/case4,10.1002/adma.202403525,10.1002/adma.202403525,figure_4,a,HTS-Ru-NCs/TiN,HTS-Ru-NCs/TiN,10,10,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,10,4.956625683060119,90.41974043715847,5.0322580645161,81.12258064516129,True,True,True,True,batch0/case4,True,included
batch0/case4/figure_4__panel_a/curve_blue,batch0/case4,10.1002/adma.202403525,10.1002/adma.202403525,figure_4,a,HTS-Ru-NCs/TiO2,HTS-Ru-NCs/TiO2,51,49,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,51,0.45252732240438076,97.99351092896177,0.2580645161290176,258.3225806451613,True,True,True,True,batch0/case4,True,included
batch0/case4/figure_4__panel_a/curve_orange,batch0/case4,10.1002/adma.202403525,10.1002/adma.202403525,figure_4,a,Pt/C,Pt/C,18,14,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,14,1.639515027322413,95.53346994535521,1.8838709677419092,126.24516129032254,True,True,True,True,batch0/case4,True,included
batch0/case4/figure_4__panel_a/curve_green,batch0/case4,10.1002/adma.202403525,10.1002/adma.202403525,figure_4,a,TiN,TiN,49,5,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,49,0.45252732240438076,1.1697404371584792,103.48387096774192,382.1935483870967,False,False,False,True,batch0/case4,False,insufficient_points_or_range
batch0/case4/figure_4__panel_c/curve_1,batch0/case4,10.1002/adma.202403525,10.1002/adma.202403525,figure_4,c,Initial,Initial,35,23,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,23,3.9040114613180537,97.38538681948424,0.9020618556700883,85.95360824742266,True,True,True,True,batch0/case4,True,included
batch0/case4/figure_4__panel_c/curve_2,batch0/case4,10.1002/adma.202403525,10.1002/adma.202403525,figure_4,c,After 5000 cycles,After 5000 cycles,30,24,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,24,2.4713467048710624,97.38538681948424,0.9020618556700883,89.81958762886596,True,True,True,True,batch0/case4,True,included
batch0/case4/figure_4__panel_e/curve_1,batch0/case4,10.1002/adma.202403525,10.1002/adma.202403525,figure_4,e,HTS-Ru-NCs/TiN,,38,27,potential_x_current_y,True,True,rhe,True,V,mA,minus_E_RHE_negative_branch,-1.0,single_current_sign,27,12.446717817561826,499.40323955669226,5.778191985088527,199.62721342031685,True,True,True,True,batch0/case4,True,included
batch0/case5/figure_3__panel_a/curve_green,batch0/case5,10.1002/adma.202409575,10.1002/adma.202409575,figure_3,a,Zn@NPC,Zn@NPC,23,2,potential_x_current_y,True,True,overpotential,True,V,mA,abs_overpotential_axis,-1.0,single_current_sign,18,0.5671077504725844,1.1972274732199064,174.48979591836732,266.3265306122448,False,False,False,True,batch0/case5,False,insufficient_points_or_range
batch0/case5/figure_3__panel_a/curve_blue,batch0/case5,10.1002/adma.202409575,10.1002/adma.202409575,figure_3,a,Zn1Pt1@NPC,Zn1Pt1@NPC,22,21,potential_x_current_y,True,True,overpotential,True,V,mA,abs_overpotential_axis,-1.0,dominant_high_eta_current_sign,21,0.37807183364838964,133.5223692501575,5.204081632653084,161.22448979591834,True,True,True,True,batch0/case5,True,included
