cycle,native_index,px,py,eta_mV,j_mA_cm2
1,6,335.0,133.5,233.94723743155785,5.171027774428235
1,7,331.0,139.5,237.92931806869075,5.677478998352026
1,8,327.0,146.5,241.91139870582364,6.26833875959645
1,9,323.0,153.5,245.8934793429565,6.859198520840873
1,10,319.0,161.0,249.87555998008943,7.492262550745611
1,11,315.0,168.5,253.85764061722233,8.12532658065035
1,12,311.0,176.5,257.8397212543552,8.800594879215407
1,13,307.0,185.0,261.8218018914881,9.518067446440776
1,14,303.0,194.0,265.80388252862105,10.277744282326463
1,15,299.0,203.5,269.7859631657539,11.079625386872465
1,16,295.0,213.0,273.7680438028868,11.881506491418468
1,17,291.0,222.5,277.75012444001965,12.68338759596447
1,18,287.0,232.5,281.73220507715257,13.52747296917079
1,19,283.0,243.0,285.7142857142855,14.413762611037424
1,20,279.0,253.5,289.69636635141836,15.30005225290406
1,21,275.0,265.0,293.6784469885513,16.270750432091326
1,22,271.0,275.5,297.66052762568415,17.157040073957962
1,23,267.0,287.0,301.6426082628171,18.12773825314523
1,24,263.0,297.5,305.62468889995,19.01402789501186
1,25,259.0,309.0,309.60676953708287,19.984726074199127
2,2,327.0,134.0,241.91139870582364,5.213232043088551
2,3,323.0,139.0,245.8934793429565,5.6352747296917105
2,4,319.0,144.5,249.87555998008943,6.099521684955185
2,5,315.0,149.5,253.85764061722233,6.521564371558345
2,6,311.0,155.5,257.8397212543552,7.028015595482136
2,7,307.0,161.5,261.8218018914881,7.534466819405927
2,8,303.0,167.5,265.80388252862105,8.040918043329718
2,9,299.0,173.5,269.7859631657539,8.54736926725351
2,10,295.0,179.5,273.7680438028868,9.053820491177301
2,11,291.0,186.5,277.75012444001965,9.644680252421724
2,12,287.0,192.5,281.73220507715257,10.151131476345515
2,13,283.0,200.0,285.7142857142855,10.784195506250255
2,14,279.0,206.5,289.69636635141836,11.332850998834362
2,15,275.0,213.5,293.6784469885513,11.923710760078784
2,16,271.0,221.0,297.66052762568415,12.556774789983523
2,17,267.0,228.0,301.6426082628171,13.147634551227947
2,18,263.0,236.0,305.62468889995,13.822902849793001
2,19,259.0,244.0,309.60676953708287,14.498171148358056
2,20,255.0,251.0,313.5888501742158,15.08903090960248
2,21,251.0,259.0,317.5709308113486,15.764299208167534
2,22,247.0,267.0,321.5530114484815,16.43956750673259
2,23,243.0,275.0,325.53509208561445,17.114835805297645
2,24,239.0,282.0,329.5171727227473,17.70569556654207
2,25,235.0,290.0,333.49925335988024,18.380963865107123
2,26,231.0,298.0,337.4813339970131,19.056232163672178
2,27,227.0,306.0,341.46341463414603,19.731500462237232
3,6,319.0,141.0,249.87555998008943,5.804091804332974
3,7,315.0,145.0,253.85764061722233,6.141725953615501
3,8,311.0,149.5,257.8397212543552,6.521564371558345
3,9,307.0,154.5,261.8218018914881,6.943607058161504
3,10,303.0,159.0,265.80388252862105,7.3234454761043475
3,11,299.0,164.0,269.7859631657539,7.745488162707507
3,12,295.0,169.5,273.7680438028868,8.209735117970983
3,13,291.0,174.5,277.75012444001965,8.631777804574142
3,14,287.0,180.5,281.73220507715257,9.138229028497934
3,15,283.0,186.0,285.7142857142855,9.602475983761408
3,16,279.0,191.5,289.69636635141836,10.066722939024883
3,17,275.0,197.5,293.6784469885513,10.573174162948675
3,18,271.0,203.5,297.66052762568415,11.079625386872465
3,19,267.0,209.5,301.6426082628171,11.586076610796257
3,20,263.0,215.5,305.62468889995,12.092527834720048
3,21,259.0,221.5,309.60676953708287,12.598979058643838
3,22,255.0,227.5,313.5888501742158,13.10543028256763
3,23,251.0,234.5,317.5709308113486,13.696290043812054
3,24,247.0,240.5,321.5530114484815,14.202741267735844
3,25,243.0,247.5,325.53509208561445,14.793601028980268
3,26,239.0,253.5,329.5171727227473,15.30005225290406
3,27,235.0,259.5,333.49925335988024,15.806503476827851
3,28,231.0,266.0,337.4813339970131,16.355158969411956
3,29,227.0,272.5,341.46341463414603,16.903814461996063
3,30,223.0,279.5,345.44549527127896,17.494674223240487
3,31,219.0,286.5,349.4275759084118,18.08553398448491
3,32,215.0,292.5,353.40965654554475,18.5919852084087
3,33,211.0,299.0,357.39173718267756,19.140640700992808
3,34,207.0,306.5,361.3738178198105,19.77370473089755
4,3,327.0,131.5,241.91139870582364,5.002210699786971
4,4,323.0,135.0,245.8934793429565,5.297640580409182
4,5,319.0,138.5,249.87555998008943,5.593070461031394
4,6,315.0,142.5,253.85764061722233,5.930704610313922
4,7,311.0,146.5,257.8397212543552,6.26833875959645
4,8,307.0,151.0,261.8218018914881,6.648177177539293
4,9,303.0,155.5,265.80388252862105,7.028015595482136
4,10,299.0,160.0,269.7859631657539,7.40785401342498
4,11,295.0,165.0,273.7680438028868,7.829896700028139
4,12,291.0,169.5,277.75012444001965,8.209735117970983
4,13,287.0,174.5,281.73220507715257,8.631777804574142
4,14,283.0,179.5,285.7142857142855,9.053820491177301
4,15,279.0,184.0,289.69636635141836,9.433658909120144
4,16,275.0,189.5,293.6784469885513,9.89790586438362
4,17,271.0,194.0,297.66052762568415,10.277744282326463
4,18,267.0,199.5,301.6426082628171,10.74199123758994
4,19,263.0,204.5,305.62468889995,11.164033924193097
4,20,259.0,209.5,309.60676953708287,11.586076610796257
4,21,255.0,214.5,313.5888501742158,12.008119297399416
4,22,251.0,220.0,317.5709308113486,12.47236625266289
4,23,247.0,225.0,321.5530114484815,12.89440893926605
4,24,243.0,230.5,325.53509208561445,13.358655894529527
4,25,239.0,236.0,329.5171727227473,13.822902849793001
4,26,235.0,241.5,333.49925335988024,14.287149805056476
4,27,231.0,246.5,337.4813339970131,14.709192491659635
4,28,227.0,252.5,341.46341463414603,15.215643715583427
4,29,223.0,257.5,345.44549527127896,15.637686402186587
4,30,219.0,263.5,349.4275759084118,16.14413762611038
4,31,215.0,268.5,353.40965654554475,16.566180312713538
4,32,211.0,276.5,357.39173718267756,17.241448611278592
4,33,207.0,283.0,361.3738178198105,17.7901041038627
4,34,203.0,288.0,365.3558984569434,18.21214679046586
