source,x_pixel,y_pixel,x_first,x_last,U_mV,J_mA_cm2
figure4_experiment,381.03613053613054,37,378,384,67.54989801864815,2.0189003436426067
figure4_experiment,378.52302243211335,39,376,381,69.51326372491155,2.190721649484531
figure4_experiment,377.1497142857143,40,374,380,70.58616071428582,2.2766323024054933
figure4_experiment,374.5506172839506,42,372,377,72.61670524691374,2.448453608247418
figure4_experiment,372.44,44,370,375,74.26562500000011,2.620274914089342
figure4_experiment,370.36005625879045,46,368,373,75.89058104782009,2.792096219931267
figure4_experiment,368.1657608695652,48,366,371,77.6048743206523,2.9639175257731916
figure4_experiment,366.3748211731044,50,364,369,79.00404595851228,3.1357388316151162
figure4_experiment,363.8748201438849,53,362,366,80.95717176259006,3.393470790378003
figure4_experiment,362.09828393135723,55,360,364,82.34509067862729,3.5652920962199266
figure4_experiment,359.92738275340395,58,358,362,84.04110722390328,3.823024054982814
figure4_experiment,357.5376811594203,61,355,360,85.90806159420305,4.080756013745701
figure4_experiment,355.0738552437223,64,353,357,87.83292559084208,4.338487972508587
figure4_experiment,353.13486842105266,67,351,355,89.34775904605272,4.596219931271474
figure4_experiment,350.9322834645669,71,349,353,91.0685285433072,4.939862542955323
figure4_experiment,349.18367346938777,74,347,351,92.43463010204096,5.19759450171821
figure4_experiment,346.8930921052632,78,345,349,94.22414679276329,5.541237113402058
figure4_experiment,344.05175292153586,83,342,346,96.44394303005026,5.970790378006869
figure4_experiment,341.9798761609907,87,340,344,98.06259674922615,6.314432989690719
figure4_experiment,339.4099378881988,92,338,341,100.07036102484483,6.74398625429553
figure4_experiment,335.0,100,335,335,103.51562500000011,7.431271477663229
figure4_experiment,334.18518518518516,102,333,335,104.15219907407425,7.6030927835051525
figure4_experiment,331.60088365243007,108,329,334,106.17118464653913,8.118556701030926
figure4_experiment,329.5459363957597,114,328,331,107.77661219081284,8.634020618556699
figure4_experiment,326.4831460674157,121,325,328,110.16941713483163,9.235395189003436
figure4_experiment,323.35796387520526,128,322,325,112.61096572249605,9.83676975945017
