curve,curve_uid,prepared_index,j_mA_cm2,eta_mV,role
control,batch8/case1774/figure_4__panel_a/curve_1,0,0.625,33.7599293909974,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,1,1.875,43.02736098852609,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,2,3.125,49.977934686672604,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,3,6.875,56.92850838481911,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,4,10.0,61.56222418358345,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,5,14.375,66.1959399823478,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,6,21.875,70.82965578111214,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,7,27.5,75.46337157987648,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,8,35.625,80.09708737864082,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,9,43.75,84.73080317740516,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,10,52.5,89.3645189761695,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,11,60.625,93.99823477493385,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,12,71.25,98.63195057369819,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,13,80.625,103.26566637246253,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,14,91.25,107.89938217122688,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,15,101.875,112.53309796999122,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,16,111.875,117.16681376875557,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,17,123.75,121.80052956751992,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,18,135.625,126.43424536628426,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,19,146.875,131.0679611650486,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,20,158.125,135.70167696381293,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,21,170.625,140.33539276257727,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,22,183.125,144.9691085613416,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,23,193.125,149.60282436010596,kinetic_calibration
control,batch8/case1774/figure_4__panel_a/curve_1,24,198.125,154.2365401588703,kinetic_calibration
kscn,batch8/case1774/figure_4__panel_a/curve_2,0,10.0,73.91879964695504,scale_calibration
kscn,batch8/case1774/figure_4__panel_a/curve_2,1,15.0,80.09708737864082,scale_calibration
kscn,batch8/case1774/figure_4__panel_a/curve_2,2,18.75,86.2753751103266,scale_calibration
kscn,batch8/case1774/figure_4__panel_a/curve_2,3,24.375,92.4536628420124,scale_calibration
kscn,batch8/case1774/figure_4__panel_a/curve_2,4,28.125,97.08737864077675,scale_calibration
kscn,batch8/case1774/figure_4__panel_a/curve_2,5,33.125,103.26566637246253,scale_calibration
kscn,batch8/case1774/figure_4__panel_a/curve_2,6,37.5,107.89938217122688,scale_calibration
kscn,batch8/case1774/figure_4__panel_a/curve_2,7,41.875,114.07766990291267,scale_calibration
kscn,batch8/case1774/figure_4__panel_a/curve_2,8,45.625,117.16681376875557,scale_calibration
kscn,batch8/case1774/figure_4__panel_a/curve_2,9,50.0,121.80052956751992,scale_calibration
kscn,batch8/case1774/figure_4__panel_a/curve_2,10,55.0,127.97881729920569,scale_calibration
kscn,batch8/case1774/figure_4__panel_a/curve_2,11,59.375,132.61253309797002,scale_calibration
kscn,batch8/case1774/figure_4__panel_a/curve_2,12,63.75,134.15710503089147,scale_calibration
kscn,batch8/case1774/figure_4__panel_a/curve_2,13,67.5,140.33539276257727,scale_calibration
kscn,batch8/case1774/figure_4__panel_a/curve_2,14,72.5,141.8799646954987,scale_calibration
kscn,batch8/case1774/figure_4__panel_a/curve_2,15,76.875,146.51368049426304,scale_calibration
kscn,batch8/case1774/figure_4__panel_a/curve_2,16,80.625,152.69196822594884,scale_calibration
kscn,batch8/case1774/figure_4__panel_a/curve_2,17,85.0,154.2365401588703,scale_calibration
kscn,batch8/case1774/figure_4__panel_a/curve_2,18,89.375,158.87025595763464,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,19,93.75,163.503971756399,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,20,100.625,168.13768755516335,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,21,106.875,174.31597528684912,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,22,110.625,177.40511915269204,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,23,116.875,182.03883495145638,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,24,122.5,186.67255075022072,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,25,126.875,188.21712268314215,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,26,130.0,191.30626654898506,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,27,136.25,199.0291262135923,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,28,141.875,203.66284201235663,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,29,148.125,206.75198587819952,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,30,156.25,216.0194174757282,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,31,161.875,219.1085613415711,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,32,166.875,223.74227714033543,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,33,171.25,225.2868490732569,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,34,175.0,228.37599293909977,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,35,180.625,233.00970873786412,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,36,186.25,237.64342453662846,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,37,190.625,240.73256840247137,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,38,195.0,243.82171226831426,held_out
kscn,batch8/case1774/figure_4__panel_a/curve_2,39,198.125,246.91085613415714,held_out
