curve_uid,native_index,layers,j_mA_cm2,eta_mV,per_layer_j
batch1/case4/figure_4__panel_c/curve_3,0,12,2.3574879227052983,68.93939393939394,0.19645732689210818
batch1/case4/figure_4__panel_c/curve_3,1,12,5.256038647342979,84.0909090909091,0.43800322061191493
batch1/case4/figure_4__panel_c/curve_3,2,12,9.120772946859889,99.24242424242425,0.7600644122383241
batch1/case4/figure_4__panel_c/curve_3,3,12,12.01932367149757,114.39393939393939,1.001610305958131
batch1/case4/figure_4__panel_c/curve_3,4,12,15.884057971014478,129.54545454545456,1.3236714975845398
batch1/case4/figure_4__panel_c/curve_3,5,12,20.714975845410613,144.6969696969697,1.7262479871175511
batch1/case4/figure_4__panel_c/curve_3,6,12,26.512077294685977,159.84848484848484,2.2093397745571646
batch1/case4/figure_4__panel_c/curve_3,7,12,32.30917874396134,175.0,2.6924315619967785
batch1/case4/figure_4__panel_c/curve_3,8,12,39.07246376811593,190.15151515151516,3.256038647342994
batch1/case4/figure_4__panel_c/curve_3,9,12,46.801932367149746,205.30303030303028,3.9001610305958123
batch1/case4/figure_4__panel_c/curve_3,10,12,54.53140096618356,220.45454545454547,4.54428341384863
batch1/case4/figure_4__panel_c/curve_3,11,12,62.260869565217384,235.6060606060606,5.188405797101448
batch1/case4/figure_4__panel_c/curve_3,12,12,69.9903381642512,250.75757575757572,5.832528180354267
batch1/case4/figure_4__panel_c/curve_3,13,12,77.71980676328502,265.90909090909093,6.476650563607085
batch1/case4/figure_4__panel_c/curve_3,14,12,85.44927536231883,281.06060606060606,7.120772946859902
batch1/case4/figure_4__panel_c/curve_3,15,12,93.17874396135265,296.2121212121212,7.764895330112721
batch1/case4/figure_4__panel_c/curve_3,16,12,101.8743961352657,311.3636363636363,8.489533011272142
batch1/case4/figure_4__panel_c/curve_3,17,12,110.57004830917873,326.51515151515156,9.21417069243156
batch1/case4/figure_4__panel_c/curve_3,18,12,119.26570048309178,341.6666666666667,9.938808373590982
batch1/case4/figure_4__panel_c/curve_3,19,12,127.96135265700484,356.8181818181818,10.663446054750404
batch1/case4/figure_4__panel_c/curve_3,20,12,136.65700483091788,371.96969696969694,11.388083735909824
batch1/case4/figure_4__panel_c/curve_3,21,12,146.31884057971016,387.1212121212121,12.193236714975846
batch1/case4/figure_4__panel_c/curve_3,22,12,155.0144927536232,402.2727272727273,12.917874396135266
batch1/case4/figure_4__panel_c/curve_3,23,12,164.67632850241546,417.42424242424244,13.723027375201289
batch1/case4/figure_4__panel_c/curve_3,24,12,173.37198067632852,432.57575757575756,14.44766505636071
batch1/case4/figure_4__panel_c/curve_3,25,12,182.06763285024155,447.72727272727275,15.172302737520129
batch1/case4/figure_4__panel_c/curve_4,0,18,11.053140096618343,97.72727272727273,0.614063338701019
batch1/case4/figure_4__panel_c/curve_4,1,18,14.91787439613525,111.36363636363636,0.8287707997852917
batch1/case4/figure_4__panel_c/curve_4,2,18,20.714975845410613,126.51515151515153,1.1508319914117007
batch1/case4/figure_4__panel_c/curve_4,3,18,28.444444444444432,141.66666666666666,1.5802469135802462
batch1/case4/figure_4__panel_c/curve_4,4,18,36.17391304347825,156.81818181818184,2.009661835748792
batch1/case4/figure_4__panel_c/curve_4,5,18,44.86956521739129,171.96969696969697,2.492753623188405
batch1/case4/figure_4__panel_c/curve_4,6,18,54.53140096618356,187.12121212121212,3.0295222758990867
batch1/case4/figure_4__panel_c/curve_4,7,18,65.15942028985506,203.78787878787878,3.619967793880837
batch1/case4/figure_4__panel_c/curve_4,8,18,75.78743961352656,218.93939393939394,4.210413311862586
batch1/case4/figure_4__panel_c/curve_4,9,18,85.44927536231883,232.57575757575756,4.747181964573269
batch1/case4/figure_4__panel_c/curve_4,10,18,98.00966183574879,247.72727272727275,5.444981213097154
batch1/case4/figure_4__panel_c/curve_4,11,18,108.63768115942028,262.8787878787879,6.035426731078904
batch1/case4/figure_4__panel_c/curve_4,12,18,121.19806763285024,278.030303030303,6.733225979602791
