condition,K,coverage_percent,selected,denominator
acid,1,35.61643835616438,False,73
acid,2,57.534246575342465,False,73
acid,3,72.6027397260274,False,73
acid,4,80.82191780821918,True,73
acid,5,87.67123287671232,False,73
acid,6,90.41095890410959,False,73
acid,7,93.15068493150685,False,73
acid,8,95.89041095890411,False,73
acid,9,98.63013698630137,False,73
acid,10,98.63013698630137,False,73
KOH,1,38.034188034188034,False,234
KOH,2,61.965811965811966,False,234
KOH,3,72.64957264957265,False,234
KOH,4,79.05982905982906,False,234
KOH,5,83.33333333333333,True,234
KOH,6,87.17948717948718,False,234
KOH,7,89.74358974358974,False,234
KOH,8,91.45299145299145,False,234
KOH,9,93.16239316239316,False,234
KOH,10,94.87179487179488,False,234
