curve_uid,fit_point_index,j_mA_cm2,eta_mV,source_point_indices,source_point_count
batch0/case13/figure_3__panel_b/curve_6,0,20.959409594095924,42.20664258905164,27,1
batch0/case13/figure_3__panel_b/curve_6,1,23.91143911439113,125.48686353657662,26,1
batch0/case13/figure_3__panel_b/curve_6,2,35.71955719557194,149.2812123787266,25,1
batch0/case13/figure_3__panel_b/curve_6,3,45.756457564575626,173.67041994193033,24,1
batch0/case13/figure_3__panel_b/curve_6,4,62.287822878228766,218.5822533814885,23,1
batch0/case13/figure_3__panel_b/curve_6,5,76.16236162361623,252.19177112102545,22,1
batch0/case13/figure_3__panel_b/curve_6,6,92.98892988929887,288.4781531053041,21,1
batch0/case13/figure_3__panel_b/curve_6,7,109.520295202952,313.7596487500885,20,1
batch0/case13/figure_3__panel_b/curve_6,8,120.73800738007378,336.0668507896041,19,1
batch0/case13/figure_3__panel_b/curve_6,9,133.13653136531363,360.4560583528078,18,1
batch0/case13/figure_3__panel_b/curve_6,10,141.99261992619924,384.2504071949578,17,1
batch0/case13/figure_3__panel_b/curve_6,11,153.80073800738006,411.0190496423765,16,1
batch0/case13/figure_3__panel_b/curve_6,12,165.60885608856088,437.7876920897953,15,1
batch0/case13/figure_3__panel_b/curve_6,13,180.3690036900369,464.556334537214,14,1
batch0/case13/figure_3__panel_b/curve_6,14,192.17712177121768,491.3249769846327,13,1
batch0/case13/figure_3__panel_b/curve_6,15,209.8892988929889,515.1193258267828,12,1
batch0/case13/figure_3__panel_b/curve_6,16,227.60147601476007,538.9136746689327,11,1
batch0/case13/figure_3__panel_b/curve_6,17,245.31365313653131,562.7080235110827,10,1
batch0/case13/figure_3__panel_b/curve_6,18,265.97785977859775,586.5023723532328,9,1
batch0/case13/figure_3__panel_b/curve_6,19,286.6420664206642,610.2967211953827,8,1
batch0/case13/figure_3__panel_b/curve_6,20,313.21033210332104,634.0910700375327,7,1
batch0/case13/figure_3__panel_b/curve_6,21,333.87453874538744,651.9368316691451,6,1
batch0/case13/figure_3__panel_b/curve_6,22,357.4907749077491,669.7825933007578,5,1
batch0/case13/figure_3__panel_b/curve_6,23,378.1549815498155,687.6283549323701,4,1
batch0/case13/figure_3__panel_b/curve_6,24,401.77121771217713,705.4741165639828,3,1
batch0/case13/figure_3__panel_b/curve_6,25,431.2915129151292,717.3712909850577,2,1
batch0/case13/figure_3__panel_b/curve_6,26,454.9077490774908,738.1913462219389,1,1
batch0/case13/figure_3__panel_b/curve_6,27,490.3321033210332,756.0371078535513,0,1
batch0/case18/figure_4__panel_a/curve_ptc,0,4.491310290958824,29.835651074589016,18;19,2
batch0/case18/figure_4__panel_a/curve_ptc,1,12.69283343097054,45.00632111251569,17,1
batch0/case18/figure_4__panel_a/curve_ptc,2,29.09587971099397,55.12010113780014,16,1
batch0/case18/figure_4__panel_a/curve_ptc,3,66.00273384104669,75.34766118836906,15,1
batch0/case18/figure_4__panel_a/curve_ptc,4,127.51415739113456,108.21744627054352,14,1
batch0/case18/figure_4__panel_a/curve_ptc,5,189.02558094122244,136.03034134007575,13,1
batch0/case18/figure_4__panel_a/curve_ptc,6,250.53700449131028,163.84323640960798,12,1
batch0/case18/figure_4__panel_a/curve_ptc,7,312.0484280413981,191.65613147914024,11,1
batch0/case18/figure_4__panel_a/curve_ptc,8,373.5598515914861,216.94058154235137,10,1
batch0/case18/figure_4__panel_a/curve_ptc,9,435.0712751415739,244.75347661188363,9,1
batch0/case18/figure_4__panel_a/curve_ptc,10,496.5826986916618,262.4525916561314,8,1
batch0/case2/figure_6__panel_a/curve_20wt_ptc,0,1.2813571557480647,1.9667170953101705,16,1
batch0/case2/figure_6__panel_a/curve_20wt_ptc,1,1.8498465980869927,4.084720121028778,15,1
batch0/case2/figure_6__panel_a/curve_20wt_ptc,2,2.228839559646278,6.2027231467473865,14,1
batch0/case2/figure_6__panel_a/curve_20wt_ptc,3,2.9868254827648486,8.320726172465996,13,1
batch0/case2/figure_6__panel_a/curve_20wt_ptc,4,4.1238043674427045,10.438729198184603,12,1
batch0/case2/figure_6__panel_a/curve_20wt_ptc,5,5.450279732900203,12.55673222390321,11,1
batch0/case2/figure_6__panel_a/curve_20wt_ptc,6,6.966251579137344,14.674735249621818,10,1
batch0/case2/figure_6__panel_a/curve_20wt_ptc,7,8.671719906154127,16.792738275340426,9,1
batch0/case2/figure_6__panel_a/curve_20wt_ptc,8,10.94567767550984,18.910741301059037,8,1
batch0/case2/figure_6__panel_a/curve_20wt_ptc,9,13.977621367984122,21.02874432677764,7,1
batch0/case2/figure_6__panel_a/curve_20wt_ptc,10,17.767550983576974,23.14674735249625,6,1
batch0/case2/figure_6__panel_a/curve_20wt_ptc,11,21.936473560729112,25.264750378214856,5,1
batch0/case2/figure_6__panel_a/curve_20wt_ptc,12,27.242375022559106,27.382753403933467,4,1
batch0/case2/figure_6__panel_a/curve_20wt_ptc,13,32.35878000360946,29.500756429652075,3,1
batch0/case2/figure_6__panel_a/curve_20wt_ptc,14,36.33820609998195,31.61875945537068,2,1
batch0/case2/figure_6__panel_a/curve_20wt_ptc,15,45.81303013896409,33.73676248108929,1,1
batch0/case2/figure_6__panel_a/curve_20wt_ptc,16,46.7605125428623,35.8547655068079,0,1
batch0/case41/figure_2__panel_a/curve_1,0,1.893568396996407,4.24175901993417,17,1
batch0/case41/figure_2__panel_a/curve_1,1,2.350636630754161,8.802181071415951,16,1
batch0/case41/figure_2__panel_a/curve_1,2,3.2647730982696688,13.362603122897736,15,1
batch0/case41/figure_2__panel_a/curve_1,3,5.093046033300684,17.92302517437952,14,1
batch0/case41/figure_2__panel_a/curve_1,4,9.8922624877571,22.4834472258613,13,1
batch0/case41/figure_2__panel_a/curve_1,5,14.234410708455762,27.043869277343084,12,1
batch0/case41/figure_2__panel_a/curve_1,6,19.49069539666993,31.60429132882487,11,1
batch0/case41/figure_2__panel_a/curve_1,7,35.94515181194907,45.28555748327021,10,1
batch0/case41/figure_2__panel_a/curve_1,8,41.65850473392099,49.845979534752,9,1
batch0/case41/figure_2__panel_a/curve_1,9,47.60039177277179,54.40640158623378,8,1
batch0/case41/figure_2__panel_a/curve_1,10,53.77081292850147,58.96682363771557,7,1
batch0/case41/figure_2__panel_a/curve_1,11,59.94123408423115,63.52724568919735,6,1
batch0/case41/figure_2__panel_a/curve_1,12,66.3401893568397,68.08766774067914,5,1
batch0/case41/figure_2__panel_a/curve_1,13,72.73914462944826,72.6480897921609,4,1
batch0/case41/figure_2__panel_a/curve_1,14,78.68103166829906,77.2085118436427,3,1
batch0/case41/figure_2__panel_a/curve_1,15,85.53705517466537,81.76893389512448,2,1
batch0/case41/figure_2__panel_a/curve_1,16,92.1645445641528,86.32935594660626,1,1
batch0/case41/figure_2__panel_a/curve_1,17,98.33496571988248,90.88977799808804,0,1
batch0/case41/figure_2__panel_c/curve_2,0,40.99908620164488,49.69818913480894,36,1
batch0/case41/figure_2__panel_c/curve_2,1,53.731343283582135,59.35613682092564,35,1
batch0/case41/figure_2__panel_c/curve_2,2,67.62107828205913,69.01408450704234,34,1
batch0/case41/figure_2__panel_c/curve_2,3,80.93207432226626,78.67203219315904,33,1
batch0/case41/figure_2__panel_c/curve_2,4,94.82180932074328,88.32997987927574,32,1
batch0/case41/figure_2__panel_c/curve_2,5,108.1328053609504,97.98792756539244,31,1
batch0/case41/figure_2__panel_c/curve_2,6,122.0225403594274,107.64587525150914,30,1
batch0/case41/figure_2__panel_c/curve_2,7,136.49101431617427,117.30382293762584,29,1
batch0/case41/figure_2__panel_c/curve_2,8,148.64453243984164,126.96177062374254,28,1
batch0/case41/figure_2__panel_c/curve_2,9,165.42796222966803,136.61971830985925,27,1
batch0/case41/figure_2__panel_c/curve_2,10,177.5814803533354,146.27766599597595,26,1
