curve_uid,paper_key,electrolyte_key,doi_url
batch0/case18/figure_4__panel_a/curve_ptc,10.1002/adma.202515697,0.5 M H2SO4,https://doi.org/10.1002/adma.202515697
batch0/case41/figure_2__panel_a/curve_1,10.1021/acscatal.4c01631,0.5 M H2SO4,https://doi.org/10.1021/acscatal.4c01631
batch0/case41/figure_2__panel_c/curve_2,10.1021/acscatal.4c01631,0.5 M H2SO4,https://doi.org/10.1021/acscatal.4c01631
batch0/case44/figure_4__panel_a/curve_3,10.1021/acscatal.5c02782,0.5 M H2SO4,https://doi.org/10.1021/acscatal.5c02782
batch0/case45/figure_4__panel_d/curve_1,10.1021/acscatal.5c04859,0.5 M H2SO4,https://doi.org/10.1021/acscatal.5c04859
batch0/case5/figure_3__panel_a/curve_gray,10.1002/adma.202409575,0.5 M H2SO4,https://doi.org/10.1002/adma.202409575
batch0/case54/figure_5__panel_b/curve_4,10.1021/jacs.5c04935,0.5 M H2SO4,https://doi.org/10.1021/jacs.5c04935
batch0/case58/figure_5__panel_a/curve_black,10.1021/jacs.5c19857,0.5 M H2SO4,https://doi.org/10.1021/jacs.5c19857
batch0/case58/figure_6__panel_j/curve_3,10.1021/jacs.5c19857,0.5 M H2SO4,https://doi.org/10.1021/jacs.5c19857
batch0/case62/figure_3__panel_A/curve_3,10.1126/sciadv.adh2885,0.5 M H2SO4,https://doi.org/10.1126/sciadv.adh2885
batch0/case63/figure_3__panel_a/curve_7,10.1002/anie.202501964,0.5 M H2SO4,https://doi.org/10.1002/anie.202501964
batch1/case102/figure_3__panel_a/curve_4,10.1038/s41467-023-37530-9,0.5 M H2SO4,https://doi.org/10.1038/s41467-023-37530-9
batch1/case12/figure_3__panel_a/curve_3,10.1002/adma.202007894,0.5 M H2SO4,https://doi.org/10.1002/adma.202007894
batch1/case21/figure_3__panel_a/curve_4,10.1002/adma.202110631,0.5 M H2SO4,https://doi.org/10.1002/adma.202110631
batch1/case28/figure_4__panel_a/curve_blue,10.1002/adma.202300505,0.5 M H2SO4,https://doi.org/10.1002/adma.202300505
batch1/case36/figure_4__panel_a/curve_4,10.1002/adma.202305375,0.5 M H2SO4,https://doi.org/10.1002/adma.202305375
batch1/case44/figure_5__panel_a/curve_5,10.1002/anie.202011318,0.5 M H2SO4,https://doi.org/10.1002/anie.202011318
batch1/case51/figure_4__panel_a/curve_black,10.1002/anie.202106547,0.5 M H2SO4,https://doi.org/10.1002/anie.202106547
