curve_uid,fit_point_index,j_mA_cm2,eta_mV,source_point_indices,source_point_count
batch0/case10/figure_4__panel_b/curve_2,0,4.197530864197529,11.269276393831555,29,1
batch0/case10/figure_4__panel_b/curve_2,1,4.795821462488127,14.23487544483986,28,1
batch0/case10/figure_4__panel_b/curve_2,2,5.792972459639124,17.200474495848166,27,1
batch0/case10/figure_4__panel_b/curve_2,3,6.989553656220321,20.166073546856467,26,1
batch0/case10/figure_4__panel_b/curve_2,4,8.186134852801517,23.13167259786477,25,1
batch0/case10/figure_4__panel_b/curve_2,5,9.582146248812911,26.097271648873075,24,1
batch0/case10/figure_4__panel_b/curve_2,6,11.377018043684709,29.06287069988138,23,1
batch0/case10/figure_4__panel_b/curve_2,7,13.171889838556504,32.028469750889684,22,1
batch0/case10/figure_4__panel_b/curve_2,8,15.365622032288696,34.99406880189799,21,1
batch0/case10/figure_4__panel_b/curve_2,9,17.55935422602089,37.95966785290629,20,1
batch0/case10/figure_4__panel_b/curve_2,10,20.15194681861348,40.9252669039146,19,1
batch0/case10/figure_4__panel_b/curve_2,11,22.94396961063628,43.8908659549229,18,1
batch0/case10/figure_4__panel_b/curve_2,12,25.935422602089268,46.856465005931206,17,1
batch0/case10/figure_4__panel_b/curve_2,13,29.126305792972456,49.82206405693951,16,1
batch0/case10/figure_4__panel_b/curve_2,14,32.51661918328585,52.78766310794781,15,1
batch0/case10/figure_4__panel_b/curve_2,15,36.10636277302944,55.75326215895612,14,1
batch0/case10/figure_4__panel_b/curve_2,16,40.09496676163343,58.718861209964416,13,1
batch0/case10/figure_4__panel_b/curve_2,17,44.08357075023741,61.68446026097273,12,1
batch0/case10/figure_4__panel_b/curve_2,18,48.47103513770181,64.65005931198104,11,1
batch0/case10/figure_4__panel_b/curve_2,19,52.85849952516619,67.61565836298932,10,1
batch0/case10/figure_4__panel_b/curve_2,20,57.445394112060775,70.58125741399763,9,1
batch0/case10/figure_4__panel_b/curve_2,21,62.03228869895536,73.54685646500594,8,1
batch0/case10/figure_4__panel_b/curve_2,22,67.01804368471035,76.51245551601424,7,1
