K_BV,nonlinear_denominator,linear_count,eligible_denominator,total_covered,selected,covered,coverage,upper_count,certified_count,status,mip_gap,n_candidates,seconds
1,234,29,263,118,11799,89,0.3803418803418803,89,True,0,0.0,739,0.0
2,234,29,263,174,11799;9606,145,0.6196581196581197,145,True,0,0.0,739,0.1560659408569336
3,234,29,263,199,10866;10388;9444,170,0.7264957264957265,170,True,0,0.0,739,0.16626334190368652
4,234,29,263,214,10866;10544;9599;3841,185,0.7905982905982906,185,True,0,0.0,739,0.16757702827453613
5,234,29,263,224,11325;13676;15213;4933;9131,195,0.8333333333333334,195,True,0,0.0,739,2.184727668762207
6,234,29,263,233,13984;8984;15213;3847;9442;3834,204,0.8717948717948718,204,True,0,0.0,739,0.163604736328125
7,234,29,263,239,11179;10077;15213;9445;2907;3834;9125,210,0.8974358974358975,210,True,0,0.0,739,0.1589200496673584
8,234,29,263,243,11644;9766;15213;6038;9445;2907;3834;9125,214,0.9145299145299145,214,True,0,0.0,739,0.30401134490966797
9,234,29,263,247,11644;9766;15213;6038;9445;2907;3834;9125;15181,218,0.9316239316239316,218,True,0,0.0,739,0.4561173915863037
10,234,29,263,251,11644;9297;15213;6038;8042;2908;9125;3989;15181;2117,222,0.9487179487179487,222,True,0,0.0,739,0.16087770462036133
