K_BV,nonlinear_denominator,linear_count,eligible_denominator,total_covered,selected,covered,coverage,upper_count,certified_count,status,mip_gap,n_candidates,seconds
1,73,5,78,31,14446,26,0.3561643835616438,26,True,0,0.0,67,0.0
2,73,5,78,47,14446;14278,42,0.5753424657534246,42,True,0,0.0,67,0.01767253875732422
3,73,5,78,58,13205;14597;15366,53,0.726027397260274,53,True,0,0.0,67,0.0074541568756103516
4,73,5,78,64,15379;13205;15372;15366,59,0.8082191780821918,59,True,0,0.0,67,0.005318164825439453
5,73,5,78,69,15379;13205;15372;15366;15357,64,0.8767123287671232,64,True,0,0.0,67,0.005005598068237305
6,73,5,78,71,15379;15385;15372;15366;13990;15357,66,0.9041095890410958,66,True,0,0.0,67,0.005362272262573242
7,73,5,78,73,15379;15385;15372;15366;13990;15357;15030,68,0.9315068493150684,68,True,0,0.0,67,0.01713109016418457
8,73,5,78,75,15379;15385;15373;14278;13990;15362;15030;11299,70,0.958904109589041,70,True,0,0.0,67,0.006039142608642578
9,73,5,78,77,15379;15385;15372;15366;13990;15357;15030;11299;8957,72,0.9863013698630136,72,True,0,0.0,67,0.0054569244384765625
10,73,5,78,77,15379;15385;15372;15366;13990;15357;15030;11299;8957,72,0.9863013698630136,72,True,0,0.0,67,0.0055539608001708984
