panel_uid,source_record_id,source_doi,source_doi_url,figure_id,panel_id,axis,chosen_model,usable_for_downstream,confidence,raw_anchor_count,parsed_anchor_count,normalized_rmse,slope,intercept,manual_review_recommended
batch0/case2/figure_6__panel_a,batch0/case2,10.1002/adma.202312724,https://doi.org/10.1002/adma.202312724,figure_6,a,x,linear,yes,0.9819,6,6,0.0006323960895949023,944.2857142857143,437.8571428571429,False
batch0/case2/figure_6__panel_a,batch0/case2,10.1002/adma.202312724,https://doi.org/10.1002/adma.202312724,figure_6,a,y,linear,yes,0.9714,6,6,0.0010010416252172656,-5.277142857142858,52.23809523809521,False
batch0/case3/figure_3__panel_a,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,figure_3,a,x,linear,yes,0.9753,5,5,0.0008640175459552247,707.9999999999999,388.19999999999993,False
batch0/case3/figure_3__panel_a,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,figure_3,a,y,linear,yes,0.9828,6,6,0.0006006782194232784,-4.692857142857143,51.595238095238074,False
batch0/case3/figure_3__panel_d,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,figure_3,d,x,linear,yes,0.9558,6,6,0.0015487092556628803,649.4285714285714,395.75714285714287,False
batch0/case3/figure_3__panel_d,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,figure_3,d,y,linear,yes,0.6,2,2,0.0,-22.95,63.5,False
batch0/case3/figure_4__a,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,figure_4,a,x,linear,yes,0.9704,6,6,0.0010352166562498804,287.99999999999994,384.3333333333333,False
batch0/case3/figure_4__a,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,figure_4,a,y,linear,yes,0.9539,6,6,0.0016134052602429661,-4.582857142857143,56.76190476190477,False
batch0/case3/figure_4__e,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,figure_4,e,x,linear,yes,0.968,4,4,0.0011185682326621924,1862.4999999999998,290.75,False
batch0/case3/figure_4__e,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,figure_4,e,y,linear,yes,1.0,6,6,0.0,-3.4,20.0,False
batch0/case4/figure_4__panel_a,batch0/case4,10.1002/adma.202403525,https://doi.org/10.1002/adma.202403525,figure_4,a,x,linear,yes,0.9774,5,5,0.0007901579815429607,775.0,390.2,False
batch0/case4/figure_4__panel_a,batch0/case4,10.1002/adma.202403525,https://doi.org/10.1002/adma.202403525,figure_4,a,y,linear,yes,0.9729,6,6,0.0009472221830013045,-2.7885714285714287,20.238095238095212,False
batch0/case4/figure_4__panel_c,batch0/case4,10.1002/adma.202403525,https://doi.org/10.1002/adma.202403525,figure_4,c,x,linear,yes,0.9739,5,5,0.0009123958466923714,776.0,411.7,False
batch0/case4/figure_4__panel_c,batch0/case4,10.1002/adma.202403525,https://doi.org/10.1002/adma.202403525,figure_4,c,y,linear,yes,0.971,5,5,0.0010137731629914805,-2.792,20.099999999999994,False
batch0/case4/figure_4__panel_e,batch0/case4,10.1002/adma.202403525,https://doi.org/10.1002/adma.202403525,figure_4,e,x,linear,yes,0.9757,4,4,0.0008505008656913001,1073.0,396.2,False
batch0/case4/figure_4__panel_e,batch0/case4,10.1002/adma.202403525,https://doi.org/10.1002/adma.202403525,figure_4,e,y,linear,yes,0.9712,6,6,0.0010097422398190276,-0.2792857142857143,47.52380952380952,False
batch0/case5/figure_3__panel_a,batch0/case5,10.1002/adma.202409575,https://doi.org/10.1002/adma.202409575,figure_3,a,x,linear,yes,1.0,5,5,3.70570695761692e-17,980.0000000000001,371.0,False
batch0/case5/figure_3__panel_a,batch0/case5,10.1002/adma.202409575,https://doi.org/10.1002/adma.202409575,figure_3,a,y,linear,yes,0.9836,4,4,0.0005753388209087553,-1.587,56.10000000000001,False
batch0/case6/figure_5__panel_a,batch0/case6,10.1002/adma.202410039,https://doi.org/10.1002/adma.202410039,figure_5,a,x,linear,yes,0.9778,5,5,0.0007776157913597465,787.0,389.0,False
batch0/case6/figure_5__panel_a,batch0/case6,10.1002/adma.202410039,https://doi.org/10.1002/adma.202410039,figure_5,a,y,linear,yes,0.9701,3,3,0.0010475656017578483,-0.225,19.166666666666657,False
batch0/case6/figure_5__panel_b,batch0/case6,10.1002/adma.202410039,https://doi.org/10.1002/adma.202410039,figure_5,b,x,linear,yes,0.9743,5,5,0.0008979133729352984,788.0000000000001,398.3,False
batch0/case6/figure_5__panel_b,batch0/case6,10.1002/adma.202410039,https://doi.org/10.1002/adma.202410039,figure_5,b,y,linear,yes,0.9828,5,5,0.0006017930052651297,-11.74,20.099999999999994,False
batch0/case7/figure_4__panel_a,batch0/case7,10.1002/adma.202410537,https://doi.org/10.1002/adma.202410537,figure_4,a,x,linear,yes,0.9769,4,4,0.000810240469682229,1126.9999999999998,410.29999999999995,False
batch0/case7/figure_4__panel_a,batch0/case7,10.1002/adma.202410537,https://doi.org/10.1002/adma.202410537,figure_4,a,y,linear,yes,0.971,5,5,0.0010152458347614272,-3.5335,34.25999999999999,False
batch0/case7/figure_4__panel_d,batch0/case7,10.1002/adma.202410537,https://doi.org/10.1002/adma.202410537,figure_4,d,x,linear,yes,0.9888,4,4,0.0003929143167182115,1161.5,419.85,False
