curve_uid,panel_uid,source_record_id,source_doi,source_doi_url,paper_title,figure_id,panel_id,curve_index,curve_id,catalyst_name,condition_name,curve_label_current_response,condition_label_current_response,publication_curve_label,publication_condition_label,stroke_color,line_style,marker_style,visible_segment_status,sampled_point_count,publication_included_curve,publication_analysis_bucket,source_usable_for_normalization_publication,enrich_reaction_type,enrich_electrolyte_regime,enrich_electrolyte_identity,enrich_reference_scale,enrich_ir_compensation_status,enrich_measurement_configuration,enrich_curve_family,enrich_current_normalization_basis,enrich_reported_material_name,enrich_catalyst_role,enrich_material_class,enrich_active_elements,enrich_support_material,enrich_substrate_material,enrich_structural_motif,enrich_contains_pgm,enrich_bimetallic_flag,normalization_status_current,source_usable_for_normalization_current,normalized_point_count_current,x_min_current,x_max_current,y_min_current,y_max_current,x_axis_label_current,x_axis_units_current,y_axis_label_current,y_axis_units_current,x_axis_type_current,y_axis_type_current,overlay_red_flagged_point_count_current,overlay_red_manual_review_required_current
batch0/case2/figure_6__panel_a/curve_20wt_ptc,batch0/case2/figure_6__panel_a,batch0/case2,10.1002/adma.202312724,https://doi.org/10.1002/adma.202312724,Designable Photo-Responsive Micron-Scale Ultrathin Peptoid Nanobelts for Enhanced Performance on Hydrogen Evolution Reaction,figure_6,a,1,curve_20wt_ptc,20 wt% Pt/C,20 wt% Pt/C,20 wt% Pt/C,20 wt% Pt/C,20 wt% Pt/C,20 wt% Pt/C,dark gray,solid,no markers,complete,17,yes,primary_main_HER,yes,HER,unclear,0.5 m H2SO4 aqueous electrolyte,unknown,unclear,unknown,unknown,unclear,20 wt% Pt/C,benchmark,composite,"[""Pt"", ""C""]",carbon,,unknown,True,False,completed,yes,17,-0.0358547655068079,-0.0019667170953101706,-46.7605125428623,-1.2813571557480647,Potential (V vs. RHE),V vs. RHE,Current Density,mA cm^-2,linear,linear,,
batch0/case2/figure_6__panel_a/curve_pt_te_utpnbs,batch0/case2/figure_6__panel_a,batch0/case2,10.1002/adma.202312724,https://doi.org/10.1002/adma.202312724,Designable Photo-Responsive Micron-Scale Ultrathin Peptoid Nanobelts for Enhanced Performance on Hydrogen Evolution Reaction,figure_6,a,2,curve_pt_te_utpnbs,Pt/TE-UTPNBs,Pt/TE-UTPNBs,Pt/TE-UTPNBs,Pt/TE-UTPNBs,Pt/TE-UTPNBs,Pt/TE-UTPNBs,red,solid,no markers,partial,22,yes,primary_main_HER,yes,HER,unclear,0.5 m H2SO4 aqueous electrolyte,unknown,unclear,unknown,unknown,unclear,Pt/TE-UTPNBs,candidate,single_atom,"[""Pt"", ""C"", ""N"", ""O""]",terpyridine-functionalized ultrathin peptoid nanobelts,ultrathin peptoid nanobelt,single_atom,True,False,completed,yes,22,-0.05279878971255676,-0.008320726172465995,-49.79245623533659,-1.091860674968422,Potential (V vs. RHE),V vs. RHE,Current Density,mA cm^-2,linear,linear,,
batch0/case2/figure_6__panel_a/curve_pt_te_pnss,batch0/case2/figure_6__panel_a,batch0/case2,10.1002/adma.202312724,https://doi.org/10.1002/adma.202312724,Designable Photo-Responsive Micron-Scale Ultrathin Peptoid Nanobelts for Enhanced Performance on Hydrogen Evolution Reaction,figure_6,a,3,curve_pt_te_pnss,Pt/TE-PNSs,Pt/TE-PNSs,Pt/TE-PNSs,Pt/TE-PNSs,Pt/TE-PNSs,Pt/TE-PNSs,cyan,solid,no markers,partial,51,yes,primary_main_HER,no,HER,unclear,0.5 m H2SO4 aqueous electrolyte,unknown,unclear,unknown,unknown,unclear,Pt/TE-PNSs,support_control,single_atom,"[""Pt"", ""C"", ""N"", ""O""]",terpyridine-modified peptoid nanospheres,peptoid nanosphere,single_atom,True,False,completed,no,51,-0.12057488653555222,-0.01467473524962182,-49.79245623533659,-1.2813571557480647,Potential (V vs. RHE),V vs. RHE,Current Density,mA cm^-2,linear,linear,,
batch0/case2/figure_6__panel_a/curve_ptnps_te_utpnbs,batch0/case2/figure_6__panel_a,batch0/case2,10.1002/adma.202312724,https://doi.org/10.1002/adma.202312724,Designable Photo-Responsive Micron-Scale Ultrathin Peptoid Nanobelts for Enhanced Performance on Hydrogen Evolution Reaction,figure_6,a,4,curve_ptnps_te_utpnbs,PtNPs/TE-UTPNBs,PtNPs/TE-UTPNBs,PtNPs/TE-UTPNBs,PtNPs/TE-UTPNBs,PtNPs/TE-UTPNBs,PtNPs/TE-UTPNBs,orange,solid,no markers,partial,25,yes,primary_main_HER,yes,HER,unclear,0.5 m H2SO4 aqueous electrolyte,unknown,unclear,unknown,unknown,unclear,PtNPs/TE-UTPNBs,other,composite,"[""Pt"", ""C"", ""N"", ""O""]",terpyridine-functionalized ultrathin peptoid nanobelts,ultrathin peptoid nanobelt,nanoparticle,True,False,completed,yes,25,-0.1375189107413011,-0.0358547655068079,-49.79245623533659,-1.091860674968422,Potential (V vs. RHE),V vs. RHE,Current Density,mA cm^-2,linear,linear,,
batch0/case2/figure_6__panel_a/curve_te_utpnbs,batch0/case2/figure_6__panel_a,batch0/case2,10.1002/adma.202312724,https://doi.org/10.1002/adma.202312724,Designable Photo-Responsive Micron-Scale Ultrathin Peptoid Nanobelts for Enhanced Performance on Hydrogen Evolution Reaction,figure_6,a,5,curve_te_utpnbs,TE-UTPNBs,TE-UTPNBs,TE-UTPNBs,TE-UTPNBs,TE-UTPNBs,TE-UTPNBs,purple,solid,no markers,partial,28,yes,primary_main_HER,no,HER,unclear,0.5 m H2SO4 aqueous electrolyte,unknown,unclear,unknown,unknown,unclear,TE-UTPNBs,support_control,other,"[""C"", ""N"", ""O""]",,ultrathin peptoid nanobelt,nanowire,False,False,completed,no,28,-0.3990922844175492,-0.060211800302571894,-48.655477350658735,-1.2813571557480647,Potential (V vs. RHE),V vs. RHE,Current Density,mA cm^-2,linear,linear,,
batch0/case2/figure_6__panel_a/curve_te_pnss,batch0/case2/figure_6__panel_a,batch0/case2,10.1002/adma.202312724,https://doi.org/10.1002/adma.202312724,Designable Photo-Responsive Micron-Scale Ultrathin Peptoid Nanobelts for Enhanced Performance on Hydrogen Evolution Reaction,figure_6,a,6,curve_te_pnss,TE-PNSs,TE-PNSs,TE-PNSs,TE-PNSs,TE-PNSs,TE-PNSs,olive,solid,no markers,complete,31,yes,primary_main_HER,yes,HER,unclear,0.5 m H2SO4 aqueous electrolyte,unknown,unclear,unknown,unknown,unclear,TE-PNSs,support_control,other,"[""C"", ""N"", ""O""]",,peptoid nanosphere,nanoparticle,False,False,completed,yes,31,-0.38850226928895615,-0.00726172465960669,-27.810864464898035,-0.5233712326294941,Potential (V vs. RHE),V vs. RHE,Current Density,mA cm^-2,linear,linear,,
batch0/case3/figure_3__panel_a/curve_1,batch0/case3/figure_3__panel_a,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_3,a,1,curve_1,Pt/C,Pt/C,Pt/C,Pt/C,Pt/C,Pt/C,gray,solid,no markers,partial,21,yes,primary_main_HER,no,HER,acidic,0.5 M H2SO4,RHE,yes,three_electrode_half_cell,lsv,geometric_area,Pt/C,benchmark,metal,"[""Pt""]",carbon,,unknown,True,False,completed,no,21,-0.021468926553672222,0.02231638418079106,-32.688990360223244,-1.3647894469812323,Potential,V vs. RHE,Current density,mA cm_geo^-2,linear,linear,,
batch0/case3/figure_3__panel_a/curve_2,batch0/case3/figure_3__panel_a,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_3,a,2,curve_2,Ru-PtFeNiCuW/CNTs,Ru-PtFeNiCuW/CNTs,Ru-PtFeNiCuW/CNTs,Ru-PtFeNiCuW/CNTs,Ru-PtFeNiCuW/CNTs,Ru-PtFeNiCuW/CNTs,red,solid,no markers,complete,32,yes,primary_main_HER,yes,HER,acidic,0.5 M H2SO4,RHE,yes,three_electrode_half_cell,lsv,geometric_area,Ru-PtFeNiCuW/CNTs,candidate,alloy,"[""Ru"", ""Pt"", ""Fe"", ""Ni"", ""Cu"", ""W""]",carbon nanotubes,,nanoparticle,True,True,completed,yes,32,-0.014406779661016856,0.03234463276836171,-48.0314561136479,-0.7894469812278071,Potential,V vs. RHE,Current density,mA cm_geo^-2,linear,linear,,
batch0/case3/figure_3__panel_a/curve_3,batch0/case3/figure_3__panel_a,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_3,a,3,curve_3,Ru-PtFeNiCu/CNTs,Ru-PtFeNiCu/CNTs,Ru-PtFeNiCu/CNTs,Ru-PtFeNiCu/CNTs,Ru-PtFeNiCu/CNTs,Ru-PtFeNiCu/CNTs,purple,solid,no markers,partial,31,yes,primary_main_HER,no,HER,acidic,0.5 M H2SO4,RHE,yes,three_electrode_half_cell,lsv,geometric_area,Ru-PtFeNiCu/CNTs,other,alloy,"[""Ru"", ""Pt"", ""Fe"", ""Ni"", ""Cu""]",carbon nanotubes,,unknown,True,True,completed,no,31,-0.12175141242937845,-0.010169491525423634,-48.0314561136479,-0.9386098427194364,Potential,V vs. RHE,Current density,mA cm_geo^-2,linear,linear,,
batch0/case3/figure_3__panel_a/curve_4,batch0/case3/figure_3__panel_a,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_3,a,4,curve_4,Ru-PtFeNiCu-CO/CNTs,Ru-PtFeNiCu-CO/CNTs,Ru-PtFeNiCu-CO/CNTs,Ru-PtFeNiCu-CO/CNTs,Ru-PtFeNiCu-CO/CNTs,Ru-PtFeNiCu-CO/CNTs,orange,solid,no markers,complete,32,yes,primary_main_HER,yes,HER,acidic,0.5 M H2SO4,RHE,yes,three_electrode_half_cell,lsv,geometric_area,Ru-PtFeNiCu-CO/CNTs,other,alloy,"[""Ru"", ""Pt"", ""Fe"", ""Ni"", ""Cu""]",carbon nanotubes,,unknown,True,True,completed,yes,32,-0.03347457627118635,0.00889830508474586,-48.0314561136479,-0.9386098427194364,Potential,V vs. RHE,Current density,mA cm_geo^-2,linear,linear,,
