panel_uid,source_record_id,source_doi,source_doi_url,paper_title,figure_id,panel_id,panel_label,panel_type_anchoring,panel_type_curve_extraction,plot_area_box_cropped,x_axis_label,x_axis_units,x_axis_type,x_tick_labels,y_axis_label,y_axis_units,y_axis_type,y_tick_labels,legend_entries,raw_curve_count_current_response,publication_included_panel,analysis_bucket,relevance_group,reaction_type_publication,final_HER_category,curve_family_publication,measurement_configuration_publication,electrolyte_text_publication,enrich_reaction_type_panel,enrich_electrolyte_family_panel,enrich_electrolyte_text_panel,enrich_curve_family_panel,enrich_measurement_configuration_panel,panel_enrichment_manual_review_required
batch0/case2/figure_6__panel_a,batch0/case2,10.1002/adma.202312724,https://doi.org/10.1002/adma.202312724,Designable Photo-Responsive Micron-Scale Ultrathin Peptoid Nanobelts for Enhanced Performance on Hydrogen Evolution Reaction,figure_6,a,a,multi-series line plot,lsv_polarization_curve_plot,"[60,26,439,317]",Potential (V vs. RHE),V vs. RHE,linear,"[""-0.40"",""-0.32"",""-0.24"",""-0.16"",""-0.08"",""0.00""]",Current Density,mA cm^-2,linear,"[""0"",""-10"",""-20"",""-30"",""-40"",""-50""]","[""20 wt% Pt/C"",""Pt/TE-UTPNBs"",""Pt/TE-PNSs"",""PtNPs/TE-UTPNBs"",""TE-UTPNBs"",""TE-PNSs""]",6,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,0.5 m H2SO4 aqueous electrolyte,HER,acidic,0.5 m H2SO4 aqueous electrolyte,lsv,three_electrode_half_cell,False
batch0/case3/figure_3__panel_a,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_3,a,a,2D line plot,polarization_curve,"[69.0,27.0,424.0,287.0]",Potential,V vs. RHE,linear,"[""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0""]",Current density,mA cm_geo^-2,linear,"[""0"",""-10"",""-20"",""-30"",""-40"",""-50""]","[""Pt/C"",""Ru-PtFeNiCuW/CNTs"",""Ru-PtFeNiCu/CNTs"",""Ru-PtFeNiCu-CO/CNTs"",""PtFeNiCuW/CNTs""]",5,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,0.5 M H2SO4,HER,acidic,0.5 M H2SO4,lsv,three_electrode_half_cell,False
batch0/case3/figure_3__panel_d,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_3,d,d,multi-series line plot,lsv,"[71,38,428,293]",Potential,V vs. RHE,linear,"[""-0.5"",""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0""]",SA,mA cm_ECSA^-2,linear,"[""0"",""-10""]","[""Pt/C"",""Ru-PtFeNiCuW/CNTs"",""Ru-PtFeNiCu/CNTs"",""Ru-PtFeNiCu-CO/CNTs"",""PtFeNiCuW/CNTs""]",5,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,0.5 M H2SO4,HER,acidic,0.5 M H2SO4,lsv,three_electrode_half_cell,False
batch0/case3/figure_4__a,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_4,a,a,multi-series xy line plot,HER polarization curve,"[67.0,33.0,414.0,286.0]",Potential,V vs. RHE,linear,"[""-1.0"",""-0.8"",""-0.6"",""-0.4"",""-0.2"",""0.0""]",Current density,mA cm_geo^-2,linear,"[""0"",""-10"",""-20"",""-30"",""-40"",""-50""]","[""Pt/C"",""Ru-PtFeNiCuW/CNTs"",""Ru-PtFeNiCu/CNTs"",""Ru-PtFeNiCu-CO/CNTs"",""PtFeNiCuW/CNTs""]",5,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1.0 m KOH,HER,alkaline,1.0 m KOH,lsv,three_electrode_half_cell,False
batch0/case3/figure_4__e,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_4,e,e (left inset),2D line plot inset (LSV before/after stability test),LSV,"[67,3,329,190]",Potential (V vs. RHE),V vs. RHE,linear,"[""-0.12"",""-0.08"",""-0.04"",""0.00""]",Current density (mA/cm²),mA/cm²,linear,"[""0"",""-10"",""-20"",""-30"",""-40"",""-50""]","[""initial"",""after I-t""]",2,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1.0 M KOH,HER,alkaline,1.0 M KOH,lsv,three_electrode_half_cell,False
batch0/case4/figure_4__panel_a,batch0/case4,10.1002/adma.202403525,https://doi.org/10.1002/adma.202403525,Thermal Shock Synthesis for Loading Sub-2 nm Ru Nanoclusters on Titanium Nitride as a Remarkable Electrocatalyst toward Hydrogen Evolution Reaction,figure_4,a,a,2D line plot,lsv_polarization,"[80,20,430,299]",Potential (V vs. RHE),V vs. RHE,linear,"[""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0""]",Current Density (mA cm^-2),mA cm^-2,linear,"[""0"",""-20"",""-40"",""-60"",""-80"",""-100""]","[""HTS-Ru-NCs/TiN"",""HTS-Ru-NCs/TiO2"",""Pt/C"",""TiN""]",4,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1.0 m KOH,HER,alkaline,1.0 m KOH,lsv,three_electrode_half_cell,False
batch0/case4/figure_4__panel_c,batch0/case4,10.1002/adma.202403525,https://doi.org/10.1002/adma.202403525,Thermal Shock Synthesis for Loading Sub-2 nm Ru Nanoclusters on Titanium Nitride as a Remarkable Electrocatalyst toward Hydrogen Evolution Reaction,figure_4,c,c,LSV polarization curve plot,LSV,"[101,20,451,300]",Potential (V vs. RHE),V vs. RHE,linear,"[""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0""]",Current Density (mA cm^-2),mA cm^-2,linear,"[""0"",""-25"",""-50"",""-75"",""-100""]","[""Initial"",""After 5000 cycles""]",2,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1.0 M KOH,HER,alkaline,1.0 M KOH,lsv,three_electrode_half_cell,False
batch0/case4/figure_4__panel_e,batch0/case4,10.1002/adma.202403525,https://doi.org/10.1002/adma.202403525,Thermal Shock Synthesis for Loading Sub-2 nm Ru Nanoclusters on Titanium Nitride as a Remarkable Electrocatalyst toward Hydrogen Evolution Reaction,figure_4,e,e,single-trace xy line plot with inset bar chart,lsv_curve,"[74,48,423,327]",Potential,V vs. RHE,linear,"[""-0.3"",""-0.2"",""-0.1"",""0.0""]",Current Density,mA cm^-2,linear,"[""0"",""-200"",""-400"",""-600"",""-800"",""-1000""]",[],1,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1.0 M KOH,HER,alkaline,1.0 M KOH,lsv,three_electrode_half_cell,False
batch0/case5/figure_3__panel_a,batch0/case5,10.1002/adma.202409575,https://doi.org/10.1002/adma.202409575,Ultrafast H-Spillover in Intermetallic PtZn Induced by the Local Disorder for Excellent Electrocatalytic Hydrogen Evolution Performance,figure_3,a,a,multi-series polarization curve line plot,lsv,"[77.0,40.0,420.0,342.0]",Overpotential,V vs. RHE,linear,"[""-0.30"",""-0.25"",""-0.20"",""-0.15"",""-0.10"",""-0.05"",""0.00"",""0.05""]",j,mA cm^-2,linear,"[""0"",""-50"",""-100"",""-150""]","[""Zn@NPC"",""Zn1Pt1@NPC"",""I-PtZn@NPC"",""Pt/C"",""PtZn@NPC""]",5,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,polarization_curve,three_electrode_half_cell,0.5 M H2SO4,HER,acidic,0.5 M H2SO4,polarization_curve,three_electrode_half_cell,False
batch0/case6/figure_5__panel_a,batch0/case6,10.1002/adma.202410039,https://doi.org/10.1002/adma.202410039,Rationally Designed Mo/Ru-Based Multi-Site Heterogeneous Electrocatalyst for Accelerated Alkaline Hydrogen Evolution Reaction,figure_5,a,(a),LSV line plot,lsv,"[73,8,389,255]",Potential,V vs. RHE,linear,"[""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0""]",j,mA cm^-2,linear,"[""0"",""-500"",""-1000""]","[""Ru/Mo2C/MoO2"",""Pt/C""]",2,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1.0 m KOH,HER,alkaline,1.0 m KOH,lsv,three_electrode_half_cell,False
