source_record_id,source_doi,source_doi_url,paper_title,included_in_quantitative_dataset,figures,processed_panels,publication_panels,extracted_curves,publication_curves,current_normalized_completed_curves
batch0/case2,10.1002/adma.202312724,https://doi.org/10.1002/adma.202312724,Designable Photo-Responsive Micron-Scale Ultrathin Peptoid Nanobelts for Enhanced Performance on Hydrogen Evolution Reaction,yes,6,1,1,6,6,6
batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,yes,6,7,6,22,21,22
batch0/case4,10.1002/adma.202403525,https://doi.org/10.1002/adma.202403525,Thermal Shock Synthesis for Loading Sub-2 nm Ru Nanoclusters on Titanium Nitride as a Remarkable Electrocatalyst toward Hydrogen Evolution Reaction,yes,5,5,5,11,11,11
batch0/case5,10.1002/adma.202409575,https://doi.org/10.1002/adma.202409575,Ultrafast H-Spillover in Intermetallic PtZn Induced by the Local Disorder for Excellent Electrocatalytic Hydrogen Evolution Performance,yes,5,3,3,11,11,11
batch0/case6,10.1002/adma.202410039,https://doi.org/10.1002/adma.202410039,Rationally Designed Mo/Ru-Based Multi-Site Heterogeneous Electrocatalyst for Accelerated Alkaline Hydrogen Evolution Reaction,yes,5,2,2,4,4,4
batch0/case7,10.1002/adma.202410537,https://doi.org/10.1002/adma.202410537,WS2 Moiré Superlattices Supporting Au Nanoclusters and Isolated Ru to Boost Hydrogen Production,yes,5,2,2,10,10,10
batch0/case8,10.1002/adma.202411134,https://doi.org/10.1002/adma.202411134,"A ""Two-Pronged"" Strategy to Boost Hydrogen Evolution Kinetics on NiFe-Based (Oxy)hydroxides via Oxygen Deficient Ni-Mo-Fe Coordinate Structures for Ultra-Stable Ampere-Level Alkaline Overall Water Splitting | A “Two-Pronged” Strategy to Boost Hydrogen Evolution Kinetics on NiFe-Based (Oxy)hydroxides via Oxygen Deficient Ni-Mo-Fe Coordinate Structures for Ultra-Stable Ampere-Level Alkaline Overall Water Splitting",yes,6,4,2,11,10,11
batch0/case9,10.1002/adma.202411942,https://doi.org/10.1002/adma.202411942,Unlocking Efficient Alkaline Hydrogen Evolution Through Ru–Sn Dual Metal Sites and a Novel Hydroxyl Spillover Effect,yes,4,2,2,7,7,7
batch0/case10,10.1002/adma.202412541,https://doi.org/10.1002/adma.202412541,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,yes,6,4,4,14,14,14
batch0/case11,10.1002/adma.202418527,https://doi.org/10.1002/adma.202418527,3D-Porous Electrocatalyst with Tip-Enhanced Electric Field Effect Enables High-Performance Proton Exchange Membrane Water Electrolyzer,yes,10,2,2,6,6,6
