panel_uid,n_curves,D_range_mV,E_range_mV,E_zero_and_nonzero,E_pos_and_neg
batch0/case10/figure_4__panel_b,4,30.61893520085515,204.37600528821247,True,False
batch0/case10/figure_4__panel_c,4,231.4630907495477,8.898355368741788,False,False
batch0/case11/figure_9__panel_a,2,87.30879755287265,0.9979564538075304,False,False
batch0/case12/figure_4__panel_a,2,4.067561711780826,9.938875755456127,False,False
batch0/case13/figure_3__panel_b,6,503.45808476092236,318.0091798808842,False,True
batch0/case13/figure_3__panel_h,4,276.5629769961824,316.91487997510893,False,True
batch0/case14/figure_5__i,2,11.160848920131933,196.0797412753106,True,False
batch0/case15/figure_3__panel_a,4,50.65208039405736,228.16201843882374,False,True
batch0/case16/figure_2__panel_a,2,75.94076870533712,3.200190436057584,False,False
batch0/case17/figure_3__panel_A,3,232.85426828501113,23.55747617167857,True,False
batch0/case18/figure_4__panel_a,4,152.85704219931552,326.77645738584135,False,True
batch0/case19/figure_4__panel_a,3,92.6429530586949,208.31939878384026,False,True
batch0/case2/figure_6__panel_a,5,182.51586312595455,260.05925571113215,True,True
batch0/case20/figure_3__panel_a,2,29.225391432422896,8.76568798034593,True,False
batch0/case21/figure_4__panel_a,6,119.63355311937352,195.76849645985206,True,False
batch0/case21/figure_6__panel_a,2,21.293553967775978,198.34879244837762,True,False
batch0/case21/figure_6__panel_b,2,26.381534320547757,304.7680782786319,False,True
batch0/case23/figure_3__panel_a,4,51.819622785889194,217.1867265226031,True,True
batch0/case23/figure_3__panel_h,4,14.282131402020163,15.57855710514386,True,True
batch0/case26/figure_4__panel_a,3,10.230213185246484,10.222673605964307,False,False
batch0/case26/figure_4__panel_e,2,26.925995067227937,0.8062723084260881,False,False
batch0/case27/figure_4__panel_a,2,18.367841109919354,1.7587799050402317,False,False
batch0/case29/figure_3__panel_a,5,205.7314992664085,42.444502490434864,False,False
batch0/case3/figure_4__a,3,17.592661216390916,15.63490365254818,False,True
batch0/case30/figure_3__panel_a,3,93.41491660297912,11.73656002601282,True,False
batch0/case31/figure_3__panel_a,3,352.459592588253,224.2774556338677,True,True
batch0/case32/figure_3__panel_a,3,25.376861266061084,204.6264807325781,True,False
batch0/case33/figure_3__panel_a,4,110.38994603730949,28.520908236845617,True,False
batch0/case34/figure_3__panel_a,5,175.57229049737143,399.9935923059717,False,True
batch0/case36/figure_4__panel_a,4,114.09245775130209,96.50248678400865,True,True
batch0/case37/figure_3__panel_A,4,62.12119168166468,196.68134213243198,True,False
batch0/case37/figure_3__panel_D,4,116.95377319625297,215.46022058400163,True,True
batch0/case39/figure_3__panel_a,4,91.21194435875825,192.22289899888176,False,False
batch0/case39/figure_3__panel_d,2,21.120541719391678,0.9832854561866029,False,False
batch0/case4/figure_4__panel_a,2,8.333228764551151,8.539847777660928,True,False
batch0/case41/figure_2__panel_a,2,48.3975029970645,204.52803112505202,True,False
batch0/case41/figure_2__panel_c,2,242.50196590424127,18.965838168602325,False,False
batch0/case41/figure_2__panel_f,2,53.8712227191147,197.95986150413506,True,False
batch0/case43/figure_3__panel_a,4,32.28487837150888,21.897360464202233,True,True
batch0/case43/figure_4__panel_d,2,40.90656672762299,5.790845653487441,True,False
batch0/case44/figure_4__panel_a,2,98.14703376764652,40.291711628482076,False,True
batch0/case45/figure_3__panel_a,4,60.779427447657824,3.6322472695221997,False,False
batch0/case45/figure_4__panel_a,4,159.60323746108196,217.97534931563152,False,True
batch0/case45/figure_4__panel_d,4,126.63927450001394,195.86064011606118,True,False
batch0/case46/figure_3__panel_a,3,50.79686558624864,206.11230940300635,False,True
batch0/case47/figure_4__panel_a,2,0.4226700800703318,50.794594272630114,True,False
batch0/case48/figure_4__panel_a,3,68.97390646864622,10.211721215058756,True,True
batch0/case48/figure_6__panel_c,2,54.048244673098566,2.555816396272311,False,False
batch0/case49/figure_3__panel_a,3,90.91335363752462,242.38022742349196,True,True
batch0/case49/figure_3__panel_d,2,12.387643901527547,2.5133317649306264e-10,False,False
batch0/case49/figure_6__a,5,109.18865064972343,99.360232132622,True,True
